array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.2370000184;476;548;368;16384;1468006400;779146
2176;0.2770000100;523;564;250;17408;1657241600;820309
2304;0.2010000050;517;567;186;18432;1857945600;892466
2432;0.2070000172;534;582;267;19456;2070118400;918713
2560;0.3060000241;574;622;244;20480;2293760000;958068
2688;0.2360000163;589;643;214;21504;2528870400;1050256
2816;0.2610000074;601;654;217;22528;2775449600;1181228
2944;0.2580000162;653;726;211;23552;3033497600;1150234
3072;0.2660000026;684;721;351;24576;3303014400;1193589
3200;0.2820000052;696;720;307;25600;3584000000;1262167
3328;0.2910000086;715;715;451;26624;3876454400;1296888
3456;0.3040000200;719;757;282;27648;4180377600;1363125
3584;0.3190000057;714;743;419;28672;4495769600;1431479
3712;0.3250000179;759;768;307;29696;4822630400;1461311
3840;0.3710000217;828;793;287;30720;5160960000;1672166
3968;0.3600000143;840;840;354;31744;5510758400;1624846
4096;0.3520000279;799;790;338;32768;5872025600;1580611
4224;0.3730000257;889;874;269;33792;6244761600;1667185
4352;0.3810000122;904;849;272;34816;6628966400;1714431
4480;0.4080000222;1092;885;321;35840;7024640000;1832986
4608;0.4150000215;1292;898;355;36864;7431782400;1861444
4736;0.4240000248;1029;903;326;37888;7850393600;1904033
4864;0.5060000420;1544;1099;378;38912;8280473600;1924169
4992;0.4390000105;1165;960;358;39936;8722022400;1974111
5120;0.4600000083;1335;958;405;40960;9175040000;2071555
5248;0.4670000076;1275;973;420;41984;9639526400;2110278
5376;0.8040000200;1299;973;465;43008;10115481600;2144711
5504;0.4910000265;1546;1064;351;44032;10602905600;2200765
5632;0.5080000162;1429;1024;317;45056;11101798400;2283626
5760;0.5070000291;1429;1018;434;46080;11612160000;2300205
5888;0.5300000310;1934;1056;445;47104;12133990400;2389214
6016;0.6080000401;1891;1645;393;48128;12667289600;2518855
6144;0.5620000362;2076;1113;426;49152;13212057600;2545021
6272;0.5790000558;2299;1140;342;50176;13768294400;2625359
6400;0.5820000172;1930;1124;381;51200;14336000000;2643721
6528;0.5820000172;2059;1170;445;52224;14915174400;2616699
6656;0.6430000067;2424;1827;404;53248;15505817600;2737655
6784;0.6150000095;2487;1194;609;54272;16107929600;2778348
6912;0.6270000339;2219;1138;423;55296;16721510400;2842412
7040;0.6450000405;1937;1205;467;56320;17346560000;2898194
7168;0.6580000520;2011;1189;511;57344;17983078400;2980224
7296;0.6570000052;2256;1227;521;58368;18631065600;2979764
7424;0.6780000329;2616;1243;393;59392;19290521600;3061805
7552;0.7100000381;3233;1202;466;60416;19961446400;3207829
7680;0.7080000043;2514;1223;452;61440;20643840000;3217930
7808;0.7250000238;3142;1304;570;62464;21337702400;3274047
7936;0.7100000381;2623;1310;557;63488;22043033600;3215947
8064;0.7960000634;4465;1478;486;64512;22759833600;3477133
8192;0.7940000296;3556;1410;374;65536;23488102400;3619035
8320;0.8210000396;4144;1469;477;66560;24227840000;3580194
8448;0.7930000424;3227;1399;591;67584;24979046400;3599211
8576;0.8270000219;3151;1507;529;68608;25741721600;3617534
