array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.5210000277;1224;330;24;16384;2380342;1590083
2176;0.5750000477;1350;344;19;17408;2549223;1744330
2304;0.3410000205;1572;354;7;18432;2719253;1900665
2432;0.3280000091;1880;351;21;19456;2890366;2057179
2560;0.3760000169;1985;362;14;20480;3062508;2215690
2688;0.3630000055;2139;393;19;21504;3235625;2372059
2816;0.8270000219;2336;350;25;22528;3409672;2530570
2944;0.8170000315;2421;378;25;23552;3584606;2689098
3072;0.6660000086;2617;416;18;24576;3760388;2849785
3200;0.8300000429;2678;412;24;25600;3936984;2905052
3328;0.3980000317;2780;372;18;26624;4114360;2962443
3456;0.4960000217;3082;358;18;27648;4292488;3019851
3584;0.6270000339;3065;422;14;28672;4471338;3079418
3712;0.4690000117;3265;383;16;29696;4650885;3136843
3840;0.4730000198;3392;430;19;30720;4831104;3196410
3968;0.4930000305;3738;465;19;31744;5011975;3255994
4096;0.4980000257;3751;440;23;32768;5193475;3317899
4224;0.5320000052;4037;424;20;33792;5375585;3475364
4352;0.5770000219;4639;544;17;34816;5558286;3634901
4480;0.5600000024;4702;440;25;35840;5741561;3794451
4608;0.5780000091;4706;427;15;36864;5925394;3956162
4736;0.6230000257;4978;468;22;37888;6109769;4115731
4864;0.6470000148;5197;437;19;38912;6294671;4277442
4992;0.6730000377;5435;396;24;39936;6480087;4439170
5120;0.6810000539;5687;427;18;40960;6666003;4603057
5248;0.6420000196;5813;447;14;41984;6852407;4762644
5376;0.6700000167;6072;439;21;43008;7039287;4924355
5504;0.7920000553;6171;463;23;44032;7226631;5086083
5632;0.8550000191;6362;458;19;45056;7414429;5260941
5760;0.8150000572;6533;456;10;46080;7602671;5423070
5888;0.9000000358;6726;478;18;47104;7791347;5587341
6016;0.8420000672;6924;522;15;48128;7980446;5751629
6144;1.3950001001;7153;445;23;49152;8169961;5918076
6272;0.8250000477;7258;505;27;50176;8359883;5976561
6400;0.9270000458;7525;560;20;51200;8550202;6037152
6528;0.8970000148;7709;466;15;52224;8740912;6097760
6656;0.9090000391;7705;464;17;53248;8932005;6160527
6784;0.9040000439;8041;539;25;54272;9123472;6221152
6912;0.9270000458;8353;529;18;55296;9315308;6283919
7040;0.9200000167;8545;520;17;56320;9507505;6346703
7168;1.9520001411;8546;592;16;57344;9700057;6411646
7296;1.9730000496;8634;576;21;58368;9892958;6472289
7424;0.9100000262;9075;542;18;59392;10086201;6535056
7552;0.9700000286;9252;545;26;60416;10279780;6597840
7680;0.9500000477;9368;536;21;61440;10473690;6662783
7808;0.9320000410;9545;511;22;62464;10667925;6725584
7936;1.0290000439;9849;545;13;63488;10862480;6790527
8064;0.9700000286;10302;553;25;64512;11057350;6855487
8192;1.0060000420;10499;558;20;65536;11252530;7082529
8320;0.9920000434;10665;554;20;66560;11448014;7130708
8448;1.0600000620;10917;520;23;67584;11643799;7416787
8576;1.1069999933;11320;550;27;68608;11839879;7584914
8704;1.1130000353;11324;546;22;69632;12036250;7755195
8832;1.1330000162;11657;565;22;70656;12232909;7923346
8960;1.1660000086;12042;766;24;71680;12429850;8093634
9088;1.1880000830;12559;792;19;72704;12627070;8263938
9216;1.2410000563;12436;617;22;73728;12824565;8436393
9344;1.2690000534;12776;631;20;74752;13022331;8604563
9472;1.2880001068;12848;638;20;75776;13220364;8774850
9600;1.3450000286;13500;893;13;76800;13418661;8945155
9728;2.4580001831;13365;538;18;77824;13617218;9117610
9856;1.1900000572;13952;527;17;78848;13816031;9288231
9984;1.2140001059;14229;685;27;79872;14015098;9460694
10112;1.2370001078;14378;591;20;80896;14214416;9633174
10240;1.7080000639;14544;558;23;81920;14413980;9807813
10368;1.5730000734;14976;583;22;82944;14613788;9975994
10496;1.5140000582;15116;828;23;83968;14813837;10146282
10624;1.4460000992;15254;572;15;84992;15014124;10316585
10752;1.5140000582;15274;685;27;86016;15214646;10489048
10880;1.6220000982;16061;794;29;87040;15415401;10659370
11008;1.6040000916;16123;681;13;88064;15616385;10831832
11136;1.6620000601;16618;880;20;89088;15817596;11004313
11264;1.6390000582;16357;889;19;90112;16019031;11178952
11392;3.5280001163;16536;889;11;91136;16220688;11349291
11520;1.7070001364;16989;800;14;92160;16422564;11521754
11648;1.7330000401;17146;648;17;93184;16624657;11694233
11776;1.5790001154;17119;706;22;94208;16826964;11868872
11904;1.7340000868;17295;667;11;95232;17029484;12041369
12032;2.2130000591;17550;705;13;96256;17232213;12216008
12160;1.7430000305;17924;832;16;97280;17435150;12390665
12288;1.8020000458;18227;669;20;98304;17638292;12567479
12416;1.8190001249;18337;788;14;99328;17841637;12629183
12544;1.7750000954;18467;705;21;100352;18045184;12692973
12672;2.7330000401;19183;863;19;101376;18248930;12756782
12800;1.9080001116;18848;728;19;102400;18452872;12822748
12928;1.7500001192;19108;809;22;103424;18657010;12886573
13056;1.9190001488;19328;917;11;104448;18861342;12952540
13184;2.7720000744;19876;952;11;105472;19065864;13018525
13312;1.7200000286;19735;786;25;106496;19270576;13086667
13440;1.6860001087;19864;802;21;107520;19475475;13150510
13568;1.6950000525;20263;805;17;108544;19680561;13216477
13696;1.7270001173;20361;739;18;109568;19885830;13282461
13824;1.9330000877;21118;1171;16;110592;20091282;13350606
13952;1.9280000925;20873;754;28;111616;20296914;13416605
14080;2.4090001583;21262;860;12;112640;20502726;13484748
14208;4.1010003090;21747;1009;16;113664;20708715;13552909
14336;1.7200000286;21487;965;17;114688;20914879;13623227
14464;1.8980001211;22320;1032;21;115712;21121218;13687089
14592;1.9550000429;22045;827;20;116736;21327729;13753055
14720;1.9980001450;23017;1084;21;117760;21534412;13819040
14848;2.0250000954;22279;950;14;118784;21741264;13887182
14976;3.5160002708;23249;1163;14;119808;21948285;13953184
15104;2.0980000496;23059;973;20;120832;22155472;14021326
15232;3.1000001431;23969;1049;15;121856;22362825;14089487
15360;1.8350000381;23417;984;12;122880;22570342;14159805
15488;2.0110001564;23751;1283;13;123904;22778021;14225825
15616;2.7570002079;24452;1153;15;124928;22985861;14293968
15744;1.8050000668;24745;812;25;125952;23193862;14362127
15872;1.8140001297;24047;957;22;126976;23402021;14432446
16000;2.0250000954;24828;915;24;128000;23610337;14500623
16128;3.3390002251;25503;979;13;129024;23818810;14570943
16256;2.0099999905;25892;1019;20;130048;24027437;14641280
16384;2.0840001106;25586;1041;16;131072;24236218;14484192
16512;2.1000001431;26073;1155;23;132096;24445152;14650047
16640;2.3670001030;26508;1085;29;133120;24654236;14817775
16768;3.1540000439;27509;1236;15;134144;24863471;14986005
16896;1.9150000811;26535;1073;17;135168;25072855;15156393
17024;2.0750000477;27103;1094;24;136192;25282387;15324154
17152;2.1840000153;27568;938;23;137216;25492065;15494057
17280;4.0610003471;27928;1326;12;138240;25701889;15663977
17408;3.0420000553;27652;1181;15;139264;25911857;15836056
17536;2.2350001335;28517;1530;17;140288;26121969;16003835
17664;2.2890000343;28859;1115;19;141312;26332223;16173738
17792;2.3490002155;29136;1211;28;142336;26542619;16343658
17920;4.3010001183;29316;1365;42;143360;26753155;16515738
18048;2.4320001602;29416;1267;18;144384;26963831;16685674
18176;2.3820002079;29541;1112;18;145408;27174645;16857753
18304;2.3410000801;30118;1155;17;146432;27385596;17029849
18432;2.2200000286;29863;1067;23;147456;27596684;17204104
18560;2.4420001507;30791;1235;23;148480;27807907;17371902
18688;2.5480000973;30973;1193;29;149504;28019265;17541805
18816;2.5050001144;31237;1060;25;150528;28230756;17711723
18944;3.9890000820;31524;1281;25;151552;28442380;17883805
19072;2.5590000153;31523;966;27;152576;28654136;18053739
19200;2.5510001183;32198;1342;23;153600;28866023;18225820
19328;2.6180000305;32454;1184;20;154624;29078040;18397915
19456;2.6360001564;32234;1104;22;155648;29290186;18572170
19584;2.6010000706;33147;1205;26;156672;29502461;18742125
19712;3.2620000839;33017;1322;18;157696;29714863;18914206
19840;2.7880001068;33455;1200;31;158720;29927392;19086299
19968;2.7360000610;33472;1183;23;159744;30140047;19260555
20096;2.7800002098;33787;1258;33;160768;30352827;19432668
20224;2.7710001469;33996;1456;17;161792;30565731;19606924
