array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.1760000139;468;170;34;16384;1468006400;779146
2176;0.1850000024;483;210;26;17408;1657241600;820309
2304;0.1650000066;480;178;24;18432;1857945600;892466
2432;0.1820000112;535;186;20;19456;2070118400;918713
2560;0.3920000196;532;204;26;20480;2293760000;958068
2688;0.1950000077;545;218;29;21504;2528870400;1050256
2816;0.4750000238;581;208;28;22528;2775449600;1181228
2944;0.4690000117;579;194;29;23552;3033497600;1150234
3072;0.2040000111;625;188;20;24576;3303014400;1193589
3200;0.2630000114;653;172;27;25600;3584000000;1262167
3328;0.2420000136;662;194;43;26624;3876454400;1296888
3456;0.2590000033;680;237;35;27648;4180377600;1363125
3584;0.5690000057;793;236;41;28672;4495769600;1431479
3712;0.2730000019;715;251;30;29696;4822630400;1461311
3840;0.3050000072;754;183;31;30720;5160960000;1672166
3968;0.3010000288;827;178;28;31744;5510758400;1624846
4096;0.3550000191;796;192;20;32768;5872025600;1580611
4224;0.6780000329;847;264;27;33792;6244761600;1667185
4352;0.4900000095;935;237;28;34816;6628966400;1714432
4480;0.3480000198;1130;246;28;35840;7024640000;1832986
4608;0.8220000267;1540;369;25;36864;7431782400;1861445
4736;0.7610000372;1061;225;27;37888;7850393600;1904033
4864;0.7780000567;1399;242;24;38912;8280473600;1924168
4992;0.5490000248;1386;264;26;39936;8722022400;1974112
5120;0.3960000277;1343;221;29;40960;9175040000;2071556
5248;0.4010000229;1225;213;30;41984;9639526400;2110278
5376;0.3960000277;1260;251;33;43008;10115481600;2144711
5504;0.4420000315;1488;240;20;44032;10602905600;2200765
5632;0.4590000212;1414;272;31;45056;11101798400;2283626
5760;0.9250000715;1398;238;30;46080;11612160000;2300205
5888;0.8490000367;1893;265;30;47104;12133990400;2389214
6016;0.4280000329;1577;240;28;48128;12667289600;2518852
6144;0.4320000112;2036;280;30;49152;13212057600;2545021
6272;0.4930000305;2292;235;27;50176;13768294400;2625359
6400;0.5279999971;1888;252;29;51200;14336000000;2643721
6528;1.0500000715;1980;269;22;52224;14915174400;2616699
6656;0.9820000529;2106;293;24;53248;15505817600;2737653
6784;0.5090000033;2419;318;28;54272;16107929600;2778348
6912;0.5509999990;2256;263;29;55296;16721510400;2842412
7040;1.1610000134;1936;302;29;56320;17346560000;2898194
7168;0.5450000167;2009;252;31;57344;17983078400;2980224
7296;0.5590000153;2250;281;27;58368;18631065600;2979764
7424;0.5780000091;2671;308;28;59392;19290521600;3061805
7552;0.6630000472;3316;290;40;60416;19961446400;3207829
7680;0.6600000262;2529;275;27;61440;20643840000;3217930
7808;0.5990000367;3107;313;30;62464;21337702400;3274047
7936;0.6430000067;2575;291;28;63488;22043033600;3215947
8064;0.6820000410;4503;408;37;64512;22759833600;3477132
8192;0.6570000052;3509;313;25;65536;23488102400;3619035
8320;0.6730000377;3954;330;25;66560;24227840000;3580192
8448;0.6760000587;3244;311;26;67584;24979046400;3599211
8576;1.3130000830;3617;404;19;68608;25741721600;3617533
8704;1.0140000582;3373;446;33;69632;26515865600;3673199
