array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.3380000293;1275;363;21;16384;2380342;1635468
2176;0.6070000529;1550;398;18;17408;2549223;1793753
2304;0.4470000267;1603;351;21;18432;2719253;1954246
2432;0.5250000358;1721;351;20;19456;2890366;2114757
2560;0.3020000160;1939;359;21;20480;3062508;2277555
2688;0.4900000095;2189;390;65;21504;3235625;2438086
2816;0.4200000167;2278;377;69;22528;3409672;2600884
2944;0.4570000172;2454;427;24;23552;3584606;2763699
3072;0.3290000260;2568;385;16;24576;3760388;2928801
3200;0.3520000279;3000;459;20;25600;3936984;2986184
3328;0.6880000234;2809;439;18;26624;4114360;3045813
3456;0.3550000191;2929;396;17;27648;4292488;3105460
3584;0.3530000150;3127;413;13;28672;4471338;3167394
3712;0.7180000544;3499;555;20;29696;4650885;3227062
3840;0.5670000315;3471;455;8;30720;4831104;3288995
3968;0.5750000477;3545;443;16;31744;5011975;3350946
4096;0.7400000095;3843;443;13;32768;5193475;3415184
4224;0.5600000024;3968;414;15;33792;5375585;3576815
4352;0.8010000587;4558;513;20;34816;5558286;3740638
4480;0.9410000443;4448;442;22;35840;5741561;3904476
4608;0.4890000224;4695;449;18;36864;5925394;4070602
4736;0.4800000191;5073;430;26;37888;6109769;4234618
4864;0.6670000553;5144;465;19;38912;6294671;4400744
4992;0.7600000501;5405;476;22;39936;6480087;4566887
5120;0.8740000129;5720;449;19;40960;6666003;4735317
5248;1.0880000591;5837;467;30;41984;6852407;4899195
5376;0.8860000372;6221;597;17;43008;7039287;5065321
5504;0.5750000477;6086;480;21;44032;7226631;5231464
5632;0.6120000482;6313;513;15;45056;7414429;5410667
5760;0.7400000095;6617;462;14;46080;7602671;5577214
5888;0.7970000505;6766;475;19;47104;7791347;5746028
6016;1.0570000410;7034;458;21;48128;7980446;5914859
6144;0.9550000429;7254;519;20;49152;8169961;6085977
6272;1.2050000429;7113;500;18;50176;8359883;6146706
6400;1.1140000820;7446;545;18;51200;8550202;6209664
6528;0.7430000305;7542;523;15;52224;8740912;6272639
6656;1.6980000734;7678;517;14;53248;8932005;6337901
