array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.1170000061;467;185;32;16384;1468006400;763086
2176;0.2480000108;482;214;20;17408;1657241600;803389
2304;0.2670000196;494;181;28;18432;1857945600;874484
2432;0.1980000138;521;185;33;19456;2070118400;899783
2560;0.3010000288;524;222;19;20480;2293760000;938186
2688;0.3130000234;569;227;17;21504;2528870400;1029236
2816;0.1750000119;575;210;22;22528;2775449600;1159238
2944;0.2000000030;571;198;26;23552;3033497600;1127198
3072;0.2990000248;993;287;26;24576;3303014400;1169790
3200;0.2590000033;636;169;22;25600;3584000000;1237181
3328;0.3190000057;675;211;26;26624;3876454400;1271100
3456;0.4300000072;686;243;32;27648;4180377600;1336225
3584;0.4480000138;720;183;21;28672;4495769600;1403493
3712;0.6000000238;744;246;22;29696;4822630400;1432431
3840;0.6790000200;805;191;21;30720;5160960000;1642042
3968;0.4090000093;811;202;13;31744;5510758400;1593748
4096;0.6520000100;790;201;22;32768;5872025600;1548599
4224;0.2870000005;839;262;25;33792;6244761600;1634379
4352;0.7320000529;1380;278;13;34816;6628966400;1680654
4480;0.4770000279;1079;229;20;35840;7024640000;1798124
4608;0.7570000291;1283;246;21;36864;7431782400;1825546
4736;0.2840000093;1030;231;22;37888;7850393600;1867055
4864;0.3100000024;1385;240;12;38912;8280473600;1886384
4992;0.7460000515;1583;306;17;39936;8722022400;1935168
5120;0.8030000329;1559;240;19;40960;9175040000;2031586
5248;0.4930000305;1232;231;20;41984;9639526400;2069346
5376;0.7750000358;1269;260;24;43008;10115481600;2102669
5504;0.7540000081;1495;258;27;44032;10602905600;2157875
5632;0.4679565430;1806;289;26;45056;11101798400;2239941
5760;0.3420000076;1404;247;20;46080;11612160000;2255503
5888;0.4600000083;1897;271;21;47104;12133990400;2343384
6016;0.4410000145;1589;245;25;48128;12667289600;2471834
6144;0.5190000534;2033;260;30;49152;13212057600;2497051
6272;0.8130000234;2359;247;31;50176;13768294400;2576363
6400;0.9530000687;1893;273;25;51200;14336000000;2594029
6528;0.3970000148;2037;285;28;52224;14915174400;2565749
6656;0.4060000181;2108;304;22;53248;15505817600;2685775
6784;0.5340000391;2436;308;27;54272;16107929600;2725324
6912;0.6180000305;2296;262;24;55296;16721510400;2788502
7040;0.7000000477;1945;296;30;56320;17346560000;2843148
