array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.1850000024;1101;1620;595;16384;2380342;1265756
2176;0.2030000091;1151;1656;50;17408;2549223;1379428
2304;0.1840000153;1217;1665;87;18432;2719253;1495199
2432;0.1730000079;1686;1887;80;19456;2890366;1610963
2560;0.1710000038;1725;1915;39;20480;3062508;1728897
2688;0.1850000024;1777;2089;67;21504;3235625;1844691
2816;0.1950000077;2009;2058;57;22528;3409672;1962626
2944;0.2080000043;2221;2199;84;23552;3584606;2080578
3072;0.2190000117;2359;2180;74;24576;3760388;2200688
3200;0.2320000082;2637;2514;73;25600;3936984;2255957
3328;0.2270000130;2548;2361;55;26624;4114360;2313347
3456;0.2330000103;2739;2531;60;27648;4292488;2370755
3584;0.2340000123;2803;2419;58;28672;4471338;2430321
3712;0.2410000116;2838;2722;76;29696;4650885;2487747
3840;0.2480000108;3129;2605;63;30720;4831104;2547314
3968;0.3180000186;3467;3435;72;31744;5011975;2606899
4096;0.2600000203;3423;2832;64;32768;5193475;2668640
4224;0.2720000148;3590;2957;55;33792;5375585;2785530
4352;0.2860000134;3854;2776;102;34816;5558286;2904489
4480;0.2960000038;4201;2972;48;35840;5741561;3023465
4608;0.3020000160;4440;2989;67;36864;5925394;3144599
4736;0.3170000017;4454;3735;73;37888;6109769;3263593
4864;0.3860000074;5046;3736;81;38912;6294671;3384729
4992;0.3370000124;5089;3165;73;39936;6480087;3505880
5120;0.3740000129;5310;3359;1246;40960;6666003;3629190
5248;0.3860000074;5477;3634;64;41984;6852407;3748202
5376;0.4490000308;6041;3798;80;43008;7039287;3869337
5504;0.3970000148;5750;3474;87;44032;7226631;3990489
5632;0.4070000052;5900;3673;54;45056;7414429;4124548
5760;0.4370000064;6047;3767;1372;46080;7602671;4246102
5888;0.5049999952;6359;3850;108;47104;7791347;4369797
6016;0.5130000114;6540;4036;87;48128;7980446;4493509
6144;0.5190000534;6800;3994;76;49152;8169961;4619379
