Length,Elapsed Time,L1 Cache miss,L2 Cache miss,Num of instructions
2048,1.0099999905,1117,80,4746907
2176,1.0830000639,2101,83,5106764
2304,0.6590000391,1272,75,5458016
2432,0.8850000501,1363,72,5809578
2560,0.9710000753,1318,62,6155170
2688,0.7980000377,1423,65,6506588
2816,0.8450000286,1322,73,6852171
2944,1.2460000515,1606,166,7197781
3072,0.9250000715,1357,90,7537513
3200,1.1520000696,1884,114,7888766
3328,1.3390001059,1653,67,8234366
3456,1.4010000229,2266,257,8580145
3584,1.3060001135,2949,77,8920272
3712,1.4260001183,2379,110,9265601
3840,1.1390000582,1871,71,9605838
3968,1.2760000229,2676,77,9945803
4096,1.5520000458,2075,137,10279480
4224,1.4900001287,2016,169,10669754
4352,1.6060000658,3123,70,11048392
4480,1.3710000515,2143,71,11427162
4608,1.4150000811,2245,78,11800015
4736,1.9110001326,3592,86,12178983
4864,1.7470000982,2322,83,12551962
4992,2.3270001411,2682,92,12925103
5120,2.2150001526,2756,543,13292302
5248,2.2350001335,3140,386,13671193
5376,1.6750000715,2553,72,14044108
5504,2.1400001049,2858,80,14417237
5632,1.9190001488,2372,73,14784462
5760,2.5280001163,4155,109,15157454
5888,1.8830001354,3494,77,15524807
6016,2.0300002098,4445,141,15892207
6144,2.4360001087,3160,74,16253609
6272,3.1240000725,4767,80,16632157
6400,2.1130001545,4423,110,17005276
6528,2.5990002155,3285,75,17378414
6656,2.8670001030,4394,76,17745626
6784,2.9980001450,4288,505,18118945
6912,2.8400001526,3783,87,18486151
7040,2.2660000324,3238,66,18853791
7168,2.3630001545,4728,72,19215402
7296,3.6370000839,4242,897,19588394
7424,2.3960001469,3487,65,19955474
7552,2.7190001011,4202,74,20323122
7680,2.6140000820,3937,187,20684852
7808,3.6330001354,3628,74,21052199
7936,2.7680001259,4177,79,21413931
8064,3.0710000992,4345,1013,21775813
8192,2.6360001564,3549,73,22131104
8320,2.8310000896,4509,80,22554779
8448,3.3880002499,4858,79,22960797
8576,3.1510002613,4764,1168,23366951
8704,3.2060000896,4780,71,23767193
8832,3.0310001373,5857,133,24173464
8960,3.5820002556,4567,82,24573763
9088,3.7070002556,5151,92,24974280
9216,3.0710000992,3853,77,25368760
9344,4.6450004578,5475,87,25774986
9472,3.9540002346,5273,1359,26175495
9600,3.3250000477,5888,101,26576380
9728,4.0180001259,8027,104,26970943
9856,4.4020004272,8879,259,27371468
9984,4.6670002937,5342,209,27766211
10112,4.7130002975,8232,675,28161118
10240,4.4430003166,5743,108,28549945
10368,3.9030001163,11330,294,28956233
10496,4.1900000572,4782,1429,29356609
10624,4.3810000420,6377,976,29757132
10752,3.8870000839,6592,218,30151680
10880,3.6510002613,4519,74,30552195
11008,5.8450002670,7699,146,30946957
11136,5.1850004196,8080,125,31341878
11264,4.5120000839,5023,899,31730684
11392,3.8420002460,5450,76,32131062
11520,4.1200003624,6741,158,32525814
11648,4.2180004120,7600,465,32920707
11776,5.5510001183,9121,270,33309691
11904,4.1090002060,7759,90,33704579
12032,4.7430000305,7379,106,34093480
12160,5.1450004578,6386,115,34482747
12288,4.2290000916,5206,101,34865773
12416,4.7970004082,6618,203,35271806
12544,5.3800001144,6697,823,35672134
12672,5.9230003357,7988,138,36072676
12800,4.6010003090,7655,242,36467412
12928,5.3260002136,7049,144,36867939
13056,5.0040001869,6868,1268,37262686
13184,5.2620000839,8649,265,37657594
13312,6.1600003242,8177,239,38046414
13440,5.7610001564,7636,138,38447119
13568,5.0620002747,7298,157,38841864
13696,7.0300002098,9099,129,39236768
13824,5.0960001945,8275,169,39625612
13952,5.9240002632,8035,319,40020499
14080,4.9920001030,7330,118,40409762
14208,5.1220002174,7978,128,40799015
14336,6.4369506836,8744,269,41182245
14464,5.5300002098,8228,191,41582634
14592,6.9740004539,24134,1877,41977377
14720,7.1640005112,7544,589,42372136
14848,5.6940002441,13297,668,42763959
14976,7.3740005493,9808,95,43158867
15104,6.6790003777,9343,1731,43548116
15232,6.0060005188,9565,631,43937689
15360,6.5460004807,7502,112,44320710
15488,5.7080001831,8757,102,44715467
15616,5.7080001831,10638,104,45104901
15744,6.9210004807,9164,186,45494176
15872,6.6640005112,8623,107,45877183
16000,5.9790000916,12210,237,46266449
16128,5.5970001221,8249,93,46650272
16256,6.3040003777,7866,80,47033903
16384,8.0880002975,9423,118,47410766
16512,6.3870000839,7962,595,47849781
16640,6.9200005531,15816,112,48310836
16768,6.4700002670,9903,644,48744394
16896,7.4710001945,12050,661,49172051
17024,7.1910004616,12675,173,49605592
17152,6.7040004730,13434,321,50033359
17280,7.1000003815,15044,338,50461284
17408,7.1840004921,11188,479,50883145
17536,7.1660003662,21072,427,51316823
17664,7.9850006104,16356,742,51744589
17792,7.9850006104,9836,553,52172503
17920,8.0040006638,10531,1099,52594427
18048,8.4699707031,11723,1823,53022339
18176,11.7860002518,19578,249,53444477
18304,7.6390004158,13661,765,53866616
18432,7.2450003624,14361,298,54282854
18560,7.3610005379,11808,304,54716456
18688,7.6350002289,15799,413,55144278
18816,7.8380002975,13650,274,55572148
18944,7.2910003662,11300,539,55994303
19072,7.4620003700,15270,331,56422233
19200,9.0670003891,13084,1777,56844376
19328,8.2309999466,17398,800,57266638
19456,7.2250003815,12498,183,57682859
19584,8.7770004272,13669,256,58110798
19712,9.4570007324,13434,2347,58532928
19840,7.3470001221,12734,177,58955203
19968,9.6360006332,12267,1437,59371586
20096,7.9740004539,13428,375,59793865
20224,7.5280003548,14379,308,60210369
20352,8.8400001526,12489,2159,60627023
20480,8.1500005722,15786,263,61037498
20608,8.5700006485,11102,132,61471138
20736,9.9120006561,10327,117,61898924
20864,7.7460002899,13362,198,62326834
20992,8.6030006409,12231,908,62748860
21120,8.1920003891,14140,591,63176761
21248,10.4660005569,11728,2053,63598917
21376,9.5760002136,12871,216,64021189
21504,8.5339355469,12442,221,64437395
21632,8.0820007324,12642,169,64865302
21760,8.9520006180,12515,158,65287455
21888,9.0630006790,15584,205,65709743
22016,8.9270000458,17645,311,66126125
22144,9.3050003052,15117,158,66548401
22272,9.0180006027,11413,106,66964921
22400,9.3410005569,14003,893,67381555
22528,9.1030006409,12240,115,67792038
22656,9.0540008545,13769,683,68219794
22784,11.0240001678,20810,751,68641942
22912,9.9530000687,24353,592,69064224
23040,10.3330001831,14495,983,69480619
23168,11.6180009842,15216,480,69902893
23296,9.7040004730,19743,331,70319394
23424,8.6090002060,15882,113,70736054
23552,10.1920003891,11881,129,71146656
23680,9.4370002747,12963,245,71568944
23808,9.2140007019,14047,676,71985453
23936,10.5130004883,22191,721,72401651
24064,10.1830005646,15121,313,72812399
24192,9.5950002670,14936,354,73229064
24320,10.1440000534,14027,2441,73639937
24448,11.1280002594,16801,2361,74050953
24576,11.9650001526,13803,2422,74455605
24704,10.0970001221,16230,370,74889011
24832,9.3050003052,13198,119,75316785
24960,12.2369384766,15884,1434,75744766
25088,9.3840007782,14833,199,76166755
25216,9.6870002747,18415,359,76594687
25344,9.3380002975,17886,130,77016827
25472,10.7120008469,16426,415,77439120
25600,11.9800004959,17044,466,77855480
25728,9.4280004501,13437,112,78283429
25856,10.8310003281,15955,2602,78705536
25984,9.7320003510,17228,257,79127825
26112,10.7060003281,16031,464,79544198
26240,11.8890008926,16427,1049,79966494
26368,12.2480001450,18786,437,80382994
26496,11.2640008926,21592,566,80799659
26624,10.7550001144,17048,614,81210096
26752,12.3460006714,14996,3368,81638192
26880,11.6680002213,14470,4303,82060333
27008,11.4340009689,29401,707,82482634
27136,11.3530006409,16335,2956,82898991
27264,12.6600008011,18460,3578,83321278
27392,10.2580003738,15237,183,83737797
27520,10.8580007553,17363,358,84154311
27648,11.4460000992,18149,2285,84564909
27776,12.1020002365,16832,3983,84987220
27904,11.3260002136,18576,2344,85403697
28032,12.7420005798,25393,2632,85820354
28160,12.3840007782,18197,393,86231247
28288,12.7380008698,24987,786,86647889
28416,10.9510002136,19449,288,87058763
28544,13.5670003891,17042,3901,87462675
28672,10.6630001068,16163,185,87874671
28800,11.6430006027,29336,871,88302414
28928,12.5770006180,16115,552,88724561
29056,11.1660003662,19275,293,89146849
29184,13.1180009842,22760,415,89563211
29312,13.3670005798,22800,428,89985371
29440,12.5370006561,23024,652,90401878
29568,11.7560005188,27386,479,90818398
29696,13.3880004883,27005,641,91228981
29824,12.9510002136,21909,4792,91651280
29952,11.7520008087,25586,366,92067786
30080,12.6120004654,18641,970,92484432
30208,13.0020008087,20191,583,92895324
30336,12.9880008698,25067,309,93312009
30464,12.7080001831,20715,409,93722857
30592,13.6500005722,17406,2595,94133890
30720,12.6190004349,19912,523,94538836
30848,11.8680009842,22397,358,94960977
30976,12.5880002975,25542,781,95377496
31104,12.6870002747,26985,673,95794144
31232,12.0460004807,20700,338,96204893
31360,12.8590002060,22294,2477,96621553
31488,13.4890003204,23588,2297,97032422
31616,14.7520008087,18750,244,97436325
31744,12.9070005417,20677,401,97848412
31872,12.8570003510,19917,2618,98265084
32000,12.1390008926,19131,217,98675950
32128,11.9900007248,17988,165,99086970
32256,12.8280010223,19833,497,99492080
32384,13.6840009689,40758,1451,99903098
32512,12.7530002594,20529,857,100308345
32640,13.4970006943,20439,3042,100713594
32768,13.8330001831,20389,2129,101112265
32896,13.3020009995,20562,908,101578688
33024,13.3830003738,26296,472,102039491
33152,13.5660009384,30615,826,102527944
33280,14.3390007019,26243,1507,103010771
33408,12.9850006104,24310,516,103464714
33536,13.8350009918,27718,763,103919936
33664,12.8030004501,30923,317,104375097
33792,13.9820003510,27599,739,104824488
33920,13.3230009079,24803,412,105285462
34048,14.4300003052,32203,1303,105740597
34176,14.5270004272,26896,796,106195793
34304,14.2490005493,29871,1723,106645304
34432,15.9970006943,27599,1161,107100613
34560,14.5640010834,36077,987,107550148
34688,14.5020008087,29620,4371,107999682
34816,15.1450004578,26743,1227,108443305
34944,14.8570003510,28777,1354,108904382
35072,17.8360004425,27109,365,109359535
35200,15.7980003357,58960,1821,109814712
35328,14.4960002899,25098,2756,110264252
35456,14.8110008240,22072,190,110719554
35584,16.0440006256,26212,432,111169123
35712,13.4460010529,22360,196,111618622
35840,14.3920011520,30536,3501,112062277
35968,15.0630006790,25862,3218,112517592
36096,15.1470003128,24979,1266,112967156
36224,15.9300003052,28974,307,113416709
36352,15.4180011749,41589,1412,113860613
36480,15.4770011902,25067,3251,114310108
36608,15.4610004425,29080,713,114754043
36736,17.4220008850,25723,409,115197959
36864,16.3720016479,23896,3914,115635951
36992,14.4940004349,27250,357,116096944
37120,16.0550003052,28086,1127,116552093
37248,15.8580007553,26109,398,117007257
37376,15.3900003433,24368,2286,117456812
37504,15.8330011368,25400,2079,117912139
37632,15.8980007172,28534,204,118361664
37760,16.4540004730,28898,2375,118811177
37888,17.5990009308,28378,538,119255076
38016,16.9210014343,27829,311,119710417
38144,16.1950016022,25515,2894,120159952
38272,16.7430000305,24339,2317,120609491
38400,16.4730014801,25480,1589,121053413
38528,16.8640003204,27196,284,121503039
38656,16.0240001678,24482,353,121946989
38784,16.8240013123,24958,190,122390882
38912,16.4330005646,24919,473,122828845
39040,16.3480014801,25806,291,123284141
39168,17.0550003052,24003,1306,123733682
39296,15.2220010757,26405,292,124183202
39424,16.1690006256,23358,225,124627111
39552,17.5260009766,33573,527,125076816
39680,17.0939998627,27844,511,125520685
39808,16.0440006256,27701,389,125964584
39936,17.4250011444,26142,1798,126402735
40064,16.8010005951,26414,6355,126852442
40192,15.5680007935,29091,317,127296313
40320,17.3080005646,25521,1203,127740273
40448,16.3780002594,35376,849,128178483
40576,17.2960014343,26876,1167,128622531
40704,19.4730014801,26492,2192,129060804
40832,16.5390014648,27249,650,129499071
40960,20.4080009460,25758,2792,129931299
41088,18.3870010376,30238,670,130392341
41216,17.5600013733,25787,349,130847539
41344,17.6979999542,30169,913,131302689
41472,19.3380012512,26204,286,131752241
41600,17.5200004578,27560,3137,132207562
41728,16.8520011902,27599,501,132657066
41856,18.2830009460,26470,668,133106615
41984,19.0810012817,38567,2338,133550396
42112,17.6130008698,25182,6802,134005713
42240,19.9020004272,114884,1053,134455232
42368,22.0550003052,29906,436,134904774
42496,16.5430011749,23442,200,135348658
42624,17.9760017395,27781,360,135798353
42752,24.5150012970,29316,384,136242285
42880,16.7720012665,27892,263,136686173
43008,19.7390003204,32615,3458,137124177
43136,19.2850017548,29916,2570,137579529
43264,18.0380001068,27716,690,138029033
43392,19.4870014191,29566,824,138478565
43520,17.8320007324,39721,487,138922472
43648,17.8810005188,37173,569,139372133
43776,20.2040004730,30920,688,139816063
43904,21.7730007172,33547,543,140259966
44032,20.0520000458,39278,1332,140698079
44160,18.4850006104,34052,1975,141147760
44288,18.0850009918,31179,525,141591651
44416,20.7530002594,31787,960,142035565
44544,19.9290008545,32703,514,142473848
44672,19.9450016022,30978,642,142917888
44800,17.9180011749,28512,211,143356164
44928,19.1290016174,30682,335,143794430
45056,18.6270008087,37231,989,144226664
45184,19.5160007477,30066,1525,144681834
45312,20.3030014038,33694,3470,145131372
45440,20.3730010986,33232,545,145580932
45568,23.0000019073,32938,694,146024829
45696,20.2890014648,52649,1642,146474497
45824,20.7190017700,32522,651,146918408
45952,18.2010002136,32329,476,147362279
46080,18.6780014038,27352,528,147800428
46208,20.7920017242,42489,1296,148250108
46336,21.4730014801,34992,3088,148694022
46464,22.2620010376,44008,1071,149137924
46592,20.2340011597,32856,5327,149576176
46720,19.1040000916,33954,488,150020221
46848,23.2100009918,33886,5768,150458512
46976,22.4190006256,47864,5755,150896778
47104,20.0190010071,33905,4221,151329133
47232,18.7260017395,32224,341,151778797
47360,21.6390018463,40866,1455,152222729
47488,19.6640014648,39042,729,152666612
47616,21.2360000610,38466,2137,153104889
47744,20.5520000458,41941,1132,153548953
47872,19.3180007935,36317,650,153986329
48000,18.8670005798,32471,494,154424627
48128,20.6900005341,35525,550,154857127
48256,19.8990001678,39667,818,155301130
48384,21.8230018616,38127,932,155739421
48512,20.3790016174,38651,4426,156177667
48640,20.8670005798,37938,644,156610337
48768,21.2240009308,36488,989,157048748
48896,21.8750019073,36284,3155,157481375
49024,22.9900016785,39686,1655,157914015
49152,20.0700016022,36307,719,158340425
49280,21.6560001373,41023,1426,158801248
49408,22.0870018005,36514,5587,159256388
49536,21.7620010376,39711,1793,159711565
49664,21.8210010529,34133,1638,160161103
49792,25.1370010376,42866,3072,160616280
49920,22.0530014038,42587,1357,161066203
50048,23.7320003510,42782,1987,161515747
50176,22.3380012512,35915,880,161959501
50304,23.8440017700,36685,2372,162414826
50432,22.3670005798,38679,798,162864338
50560,23.6180019379,32853,882,163313888
50688,19.8430004120,26928,335,163757802
50816,24.0600013733,47716,10999,164207452
50944,23.0200004578,37187,684,164651405
51072,21.9510002136,37189,707,165095271
51200,21.0520019531,36571,2742,165533404
51328,21.8990001678,31801,1659,165988717
51456,22.6070003510,32038,484,166438262
51584,22.3610019684,34821,3331,166887781
51712,24.6800003052,40530,1948,167331700
51840,24.9260005951,55582,1635,167781369
51968,24.4790019989,39464,1438,168225269
