Length,Elapsed Time,L1 Cache miss,L2 Cache miss,Num of instructions
2048,1.7000000477,1589,1963,4234344
2176,0.4160000086,1446,1929,4555709
2304,0.4500000179,1701,2049,4868987
2432,0.4870000184,1742,2033,5182617
2560,0.4970000088,1896,2297,5490735
2688,0.5700000525,2289,2530,5804195
2816,0.6310000420,2507,2866,6112483
2944,0.5990000367,2356,2519,6420948
3072,0.6580000520,2583,2791,6724010
3200,0.6620000601,2502,2561,7037315
3328,0.7460000515,3178,2880,7345604
3456,0.7270000577,3007,2774,7654069
3584,0.7510000467,3165,2853,7957187
3712,0.7750000358,3310,2972,8265305
3840,0.8770000339,4179,4419,8568770
3968,0.8270000219,3723,3051,8872233
4096,0.8520000577,4003,3248,9170195
4224,0.9200000167,4275,3509,9519444
4352,0.9230000377,4188,3562,9857002
4480,0.9530000687,4633,3453,10195073
4608,0.9900000691,4865,3324,10527463
4736,0.9910000563,5007,3337,10865368
4864,1.0500000715,5219,3769,11198278
4992,1.0760000944,5357,3659,11531188
5120,1.2870000601,5672,4758,11858588
5248,1.1370000839,6020,3942,12196486
5376,1.1440000534,5989,4193,12529239
5504,1.2650001049,6558,5012,12862150
5632,1.1980000734,6410,4273,13189722
5760,1.2500000000,6659,4349,13522465
5888,1.2610000372,6836,4411,13850380
6016,1.2890000343,6820,4491,14178186
6144,1.3410000801,7188,4721,14500587
6272,1.4680000544,7825,6983,14838365
6400,1.3800001144,7482,4479,15171100
6528,1.5470000505,8022,6985,15504011
6656,1.4460000992,7890,4813,15831580
6784,1.5130001307,8211,5403,16164495
6912,1.5070000887,8404,5168,16492238
7040,1.5460001230,8643,5079,16820156
7168,1.6110000610,8995,6085,17142557
7296,1.6360000372,9110,5383,17475295
7424,1.6700000763,9201,5875,17802868
7552,1.6410000324,9800,5166,18130956
7680,1.6960000992,10030,7407,18453532
7808,1.6920000315,9811,5946,18781449
7936,1.7530001402,10398,6387,19104196
8064,1.7480000257,10512,6436,19426957
8192,1.7760001421,10578,6289,19744366
8320,1.9080001116,11159,6477,20124591
8448,1.9360001087,11133,6846,20486768
8576,1.8820000887,11515,6725,20849116
8704,1.9800001383,12037,6958,21205958
8832,1.9810000658,12183,7908,21568307
8960,1.9870001078,12538,7025,21925661
9088,2.0180001259,12975,6604,22282845
9216,2.1590001583,13435,7514,22634692
9344,2.1190001965,13467,8118,22997045
9472,2.1530001163,13570,8343,23354229
9600,2.1750001907,13895,7019,23711586
9728,2.2650001049,14658,7788,24064089
9856,2.2670001984,14953,9922,24421448
9984,2.3690001965,15139,8939,24773640
10112,2.4700000286,15205,10089,25126006
10240,2.3560001850,15550,9025,25472689
10368,2.3240001202,15660,7840,25834864
10496,2.3690001965,16231,9832,26192219
10624,2.4010000229,16135,7478,26549577
10752,2.4920001030,16740,8859,26901628
10880,2.5380001068,17073,9278,27258986
11008,2.5850000381,16934,9667,27611177
11136,2.6210000515,17328,10164,27963544
11264,2.6130001545,17804,10217,28310403
11392,2.6340000629,17990,10584,28667765
11520,3.0870001316,17949,11811,29019787
11648,2.9340002537,18457,12642,29372151
11776,2.7260000706,18374,9456,29719348
11904,2.7470002174,18640,11993,30071714
12032,2.8190002441,19001,13727,30418691
12160,2.8350000381,19274,9549,30766065
12288,2.9090001583,19592,12727,31107749
12416,3.0340001583,19927,13127,31469926
12544,3.0170001984,19928,12358,31827206
12672,2.9410002232,20049,10483,32184563
12800,2.9480001926,20557,12415,32536581
12928,2.9830000401,20574,11078,32893939
13056,3.0770001411,20995,14507,33246132
13184,3.1210000515,21637,14575,33598498
13312,3.2880001068,21594,13956,33945351
13440,3.2070002556,21709,14030,34302712
13568,3.2080001831,22356,14394,34654905
13696,3.2560000420,22414,16936,35007271
13824,3.2780001163,23007,15676,35354297
13952,3.3930001259,23479,13248,35706664
14080,3.3190002441,23468,14444,36053863
14208,3.4819335938,24219,13359,36401243
14336,3.5490002632,23837,13662,36742921
14464,3.5720002651,24108,11809,37100106
14592,3.6190001965,24486,14018,37452299
14720,3.6610002518,25383,14634,37804665
14848,3.9950001240,25718,19170,38154503
14976,3.7630002499,25964,17628,38506867
15104,3.5790002346,25930,15191,38854550
15232,3.6080002785,26487,16821,39201921
15360,3.6160001755,26698,13286,39543470
15488,3.6190001965,26419,15352,39895836
15616,4.1330003738,27012,17030,40243348
15744,3.9050002098,27678,18258,40590719
15872,3.7380001545,27507,14357,40932438
16000,3.8150002956,28140,20473,41279812
16128,3.7650001049,28059,15832,41621856
16256,3.8270001411,28359,19371,41964547
16384,4.1920003891,29037,25142,42301193
16512,4.0430002213,29245,20055,42692809
16640,3.9140002728,29154,18118,43109129
16768,4.0040001869,28684,19894,43495970
16896,4.0240001678,28956,20021,43877433
17024,4.0550003052,29377,19192,44264231
17152,4.1820001602,29662,23092,44645863
17280,4.2300000191,30034,18502,45027495
17408,4.1810002327,30403,20790,45403793
17536,4.1870002747,30759,21060,45790590
17664,4.2470002174,31261,20955,46172222
17792,4.3140001297,32130,23889,46554024
17920,4.4770002365,31822,20595,46930666
18048,4.4610004425,32130,19838,47312298
18176,4.3900003433,32665,23390,47688938
18304,4.4200000763,32839,19883,48065748
18432,4.4780001640,33635,24232,48436881
18560,4.5570001602,34123,23526,48823683
18688,4.5500001907,34017,23480,49205314
18816,4.9300003052,34626,21646,49587116
18944,4.9840002060,35086,25531,49963588
19072,4.6380000114,35410,24877,50345393
19200,4.6900000572,35986,24632,50722034
19328,4.6980004311,36049,21553,51098843
19456,4.9060001373,36304,25284,51470322
19584,4.8170003891,36881,26730,51852128
19712,4.8460001945,36923,23676,52228767
19840,4.8230004311,38166,24572,52605578
19968,4.8370003700,37837,21441,52977056
20096,5.1280002594,38975,23771,53353870
20224,5.0580000877,38692,26108,53725519
20352,4.9830002785,40244,28230,54097167
20480,5.0270004272,39018,26689,54463308
20608,5.1720004082,39439,28080,54849932
20736,5.1590003967,39713,26124,55231564
20864,5.1000003815,40820,28265,55613372
20992,5.4380002022,40986,30682,55990007
21120,5.1900000572,40885,28568,56371813
21248,5.2580003738,41332,32880,56748453
21376,5.2740001678,41171,24919,57125263
21504,5.3620004654,42036,29170,57496634
21632,5.3690004349,42025,27344,57878437
