Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
2048,1.318000,1374,1849,227,8976910
2176,1.590000,1462,1772,64,9651470
2304,1.313000,1706,2036,16,10315841
2432,1.210000,1668,2009,17,10980495
2560,1.287000,1867,2165,10,11637828
2688,1.359000,2039,2274,27,12302488
2816,1.421000,2114,2425,30,12959960
2944,1.497000,2210,2345,20,13617580
3072,1.640000,2694,2637,22,14267956
3200,1.728000,2937,3193,15,14932493
3328,1.721000,2772,2647,21,15589964
3456,1.788000,2855,2855,35,16247584
3584,1.855000,3121,2795,26,16897868
3712,1.964000,3664,3408,14,17555060
3840,2.096000,3687,3512,38,18205771
3968,2.061000,3776,3108,30,18856339
4096,2.175000,4150,3368,8,19499451
4224,2.281000,4189,3415,20,20228859
4352,2.295000,4348,3281,19,20945211
4480,2.429000,4873,3682,23,21661707
4608,2.474000,4820,3362,20,22370733
4736,2.658000,5473,5317,21,23087086
4864,2.616000,5049,3620,23,23796540
4992,2.776000,5450,4371,46,24505996
5120,2.770000,5482,3923,39,25207985
5248,2.914000,6134,4225,14,25924478
5376,2.998000,5942,4502,21,26633806
5504,3.090000,6388,4373,7,27343261
5632,3.250000,6813,5730,8,28045393
5760,3.259000,7078,6012,17,28754713
5888,3.243000,6673,4314,23,29457124
6016,3.425000,7394,5675,21,30159428
6144,3.441000,7299,4897,51,30854517
6272,3.532000,7451,5518,12,31570918
6400,3.611000,7463,4730,35,32280229
6528,3.697000,7805,4892,8,32989685
6656,3.748000,8010,4987,25,33691814
6784,3.853000,8420,5516,83,34401274
6912,3.927000,8751,5887,59,35103546
7040,4.010000,8963,5699,19,35805961
7168,4.056000,9029,5762,32,36500903
7296,4.211000,9090,5443,16,37210216
7424,4.198000,9368,6240,25,37912207
7552,4.299000,9722,5732,42,38614761
7680,4.365000,10300,6775,28,39309989
7808,4.430000,10126,6979,57,40012404
7936,4.510000,10459,6526,51,40707630
8064,4.611000,10522,7672,22,41402872
8192,4.676000,11080,8003,30,42090774
8320,4.807000,10657,6497,30,42878045
8448,4.839000,11384,6849,25,43646231
8576,4.998000,11504,8327,32,44414566
8704,5.162000,11974,9910,59,45175576
8832,5.155000,12213,7773,57,45943910
8960,5.204000,13171,10132,58,46705062
9088,5.348000,13249,7536,75,47466216
9216,5.376000,13192,7684,24,48220042
9344,5.557000,13600,8293,50,48988235
9472,5.552000,13532,8392,16,49749387
9600,5.744000,14398,9536,56,50510682
9728,5.678000,14571,9159,26,51265114
9856,5.804000,14886,9470,39,52026409
9984,5.950000,15254,9765,46,52780522
10112,5.942000,15016,9379,59,53534776
10240,6.147000,15557,8905,49,54281425
10368,16.915001,16313,10049,694,55049619
10496,7.204000,16346,11034,127,55810908
10624,6.291000,16380,9670,67,56572203
10752,6.400000,17033,10194,55,57326205
10880,6.471000,16683,9872,55,58087500
11008,6.641000,17536,12211,112,58841613
11136,6.671000,17496,11666,46,59595867
11264,6.720000,17539,9509,43,60342660
11392,6.809000,17822,10183,39,61103960
11520,6.871000,18027,11342,36,61857933
11648,7.063000,18725,13866,77,62612187
11776,7.156000,19323,12927,55,63359256
11904,7.139000,18995,11501,19,64113511
12032,7.794000,19598,11779,196,64860359
12160,7.256001,19194,10064,35,65607573
12288,7.404000,19277,12383,88,66347321
12416,7.458000,19933,13820,43,67115514
12544,7.544000,20288,11746,16,67876762
12672,7.625000,20758,13327,60,68638057
12800,7.724000,20426,11875,86,69392025
12928,7.764000,21089,12144,69,70153321
13056,7.899000,21791,15756,52,70907433
13184,7.980000,21204,15241,82,71661688
13312,8.130000,21994,14239,57,72408475
13440,8.117001,22180,13797,41,73169775
13568,8.190001,22784,12802,127,73923887
13696,8.321000,22789,15017,115,74678142
13824,8.360001,23100,14138,63,75425071
13952,8.438001,23292,17000,33,76179326
14080,8.522000,23645,13895,65,76926398
14208,8.574000,23580,13207,65,77673613
14336,8.725000,24454,18390,62,78413213
14464,8.895000,24158,19087,55,79174367
14592,8.852000,24658,15617,41,79928478
14720,8.926001,25140,17182,65,80682591
14848,9.116000,25160,15883,69,81432364
14976,9.082001,25461,18376,59,82186617
15104,9.154000,25974,19468,47,82933829
15232,9.225000,26814,19151,119,83681353
15360,9.337001,27290,18267,110,84420931
15488,9.424001,26531,20064,111,85175186
15616,9.572001,27284,20132,58,85922570
15744,9.660001,27160,18285,60,86669782
15872,9.752001,28398,20627,141,87409357
16000,9.732000,28238,19978,57,88156883
16128,9.781000,28128,15870,84,88896781
16256,9.916000,28721,16384,55,89636954
16384,10.049001,28805,19061,63,90369458
16512,10.069000,29040,18992,74,91196530
16640,10.165001,29007,17651,52,92044210
16768,10.310000,28791,18966,67,92864397
16896,10.407001,28877,20088,133,93677250
17024,10.448001,29491,19436,111,94497425
17152,10.591001,29540,21087,64,95310418
17280,10.724001,30236,20704,90,96123549
17408,10.841001,30218,23827,158,96929220
17536,10.888000,30368,22355,52,97749395
17664,10.950001,31361,21355,92,98562387
17792,11.051001,31681,21833,132,99375518
17920,11.175000,32202,22334,99,100181332
18048,11.523001,32638,24703,49,100994325
18176,11.340000,32581,20481,84,101800276
18304,11.421000,32592,21674,113,102606368
18432,11.553000,33698,23447,75,103404858
18560,11.646001,34426,23513,98,104224890
18688,11.751000,34327,26615,98,105037881
18816,11.876000,34827,26796,155,105851013
18944,11.919001,35219,22843,163,106656827
19072,11.970000,35561,25976,157,107469962
19200,12.082001,34894,24873,135,108275914
19328,12.217001,35712,28592,98,109082005
19456,12.263000,36672,25522,136,109880779
19584,12.343000,37314,24636,100,110693913
19712,12.388000,37343,24563,74,111499865
19840,12.584001,38008,27120,119,112305957
19968,12.591001,38089,26298,106,113104731
20096,12.649000,38716,28184,121,113910825
20224,12.771001,39198,27904,55,114709737
20352,12.850000,40083,27319,101,115508649
20480,12.949000,39109,28951,120,116300099
20608,13.017000,39631,28719,52,117120131
20736,13.178000,39657,27362,105,117933124
20864,13.363001,41274,32960,133,118746256
20992,13.279000,41003,28908,142,119552207
21120,13.359000,40937,33237,73,120365342
21248,13.534000,41231,29447,116,121171295
21376,13.616000,41922,28408,87,121977385
21504,13.692000,41832,27602,88,122776081
21632,13.808001,42442,27279,157,123589215
21760,13.870001,42167,31294,140,124395168
21888,13.874001,43347,29110,196,125201259
22016,14.256001,43043,32306,119,126000034
22144,14.105000,42859,31446,243,126806127
22272,14.230000,43782,30993,135,127605040
22400,14.332001,43939,30750,124,128404090
22528,14.340001,44476,33764,141,129195552
22656,14.686001,44204,33310,109,130008692
22784,14.564001,44919,39179,100,130814644
22912,14.589001,45459,31088,168,131620595
23040,14.699000,45838,31201,186,132419370
23168,14.816001,45860,33131,145,133225465
23296,15.193001,46312,32665,129,134024377
23424,14.956000,46412,38222,167,134823428
23552,15.012001,46343,30801,138,135615158
23680,15.352001,46727,34748,275,136421252
23808,15.177979,47114,31205,204,137220170
23936,15.252001,47759,30802,210,138018768
24064,15.317000,47342,35520,146,138810502
24192,15.495001,47915,34754,174,139609557
24320,15.556001,47944,36105,223,140401429
24448,15.706000,48708,37029,122,141193440
24576,15.706000,49472,33982,74,141977850
24704,15.801001,49416,37743,122,142797882
24832,15.879001,50130,35642,140,143610874
24960,16.002001,50493,37113,149,144424198
25088,16.067001,49894,39344,145,145230012
25216,16.259001,50876,40555,153,146043146
25344,16.248001,51210,41828,100,146849098
25472,16.345001,51632,37352,111,147655189
25600,16.434000,51836,40763,135,148453821
25728,16.531000,52009,39437,116,149266955
25856,16.614000,51855,45478,103,150072907
25984,16.879002,53180,41035,202,150878999
26112,16.989000,54748,47795,827,151677773
26240,16.915001,53999,40531,222,152483868
26368,16.956001,54221,41070,162,153282779
26496,17.089001,54705,40939,170,154081831
26624,17.128000,53812,43466,223,154873280
26752,17.288000,54552,44077,255,155686419
26880,17.355001,55160,43547,220,156492372
27008,17.420000,55371,46682,214,157298463
27136,17.545000,56110,42857,148,158097237
27264,17.626001,55720,43795,139,158903332
27392,17.693001,56494,41572,141,159702244
27520,17.855001,57633,46620,300,160501295
27648,17.816956,56467,42627,231,161292886
27776,18.234001,58882,49829,456,162098985
27904,18.213001,58611,46353,297,162897896
28032,18.122002,58788,47673,197,163696945
28160,18.217001,58607,46797,298,164488679
28288,18.282001,58816,44357,278,165287733
28416,18.386002,58839,47030,278,166079605
28544,18.477001,60281,46037,131,166864504
28672,18.615002,59973,50255,224,167655879
28800,18.640001,59936,48906,210,168468871
28928,18.770000,60274,47197,191,169274823
29056,18.824001,61058,48862,355,170080915
29184,19.019001,60930,50674,178,170879691
29312,19.005001,61741,47153,182,171685640
29440,19.114000,61413,48793,209,172484553
29568,19.457001,62971,47923,408,173283465
29696,19.381001,61573,53997,503,174075057
29824,19.443001,62448,50909,347,174881151
29952,19.583000,63821,49426,266,175680063
30080,19.572001,63092,54837,296,176479114
30208,19.681002,63690,49516,229,177270988
30336,19.898001,64313,52187,250,178070039
30464,19.855001,64524,50863,357,178861911
30592,19.964001,66582,52162,343,179653922
30720,20.053001,65622,49203,186,180438474
30848,20.061001,64354,51691,307,181244568
30976,20.160002,65093,54825,275,182043481
31104,20.371000,66284,55620,256,182842532
31232,20.363001,66498,58150,466,183634266
31360,20.437000,66409,48084,377,184433317
31488,20.541000,66890,52387,227,185225189
31616,20.601002,67119,53707,414,186010082
31744,20.743002,67603,49050,307,186801750
31872,20.783001,67468,51646,256,187600803
32000,20.849001,68115,51138,217,188392676
32128,20.921001,69122,53216,241,189184548
32256,21.005001,68729,52737,352,189969248
32384,21.194000,69346,58924,226,190761260
32512,21.192001,69902,55701,1945,191546091
32640,21.161001,70875,51491,379,192330923
32768,21.522001,69444,61612,296,193108288
32896,21.511002,69870,61602,301,193987201
33024,21.834002,70498,57070,290,194859073
33152,21.868002,71393,57509,1051,195758592
33280,21.811001,70619,53435,336,196651074
33408,22.069000,72574,67933,214,197516079
33536,21.984001,70624,57831,234,198380969
33664,22.170002,70539,65642,210,199245802
33792,22.292002,71148,61643,555,200103457
33920,22.377001,71270,64377,466,200975471
34048,22.494001,71896,69119,518,201840303
