Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
2048,4.334000,2366,2846,359,8976911
2176,2.489000,1865,2118,183,9651471
2304,1.467000,2073,2308,228,10315842
2432,1.560000,2069,2290,197,10980496
2560,1.671000,2133,2631,290,11637829
2688,1.764000,2363,3154,214,12302489
2816,1.831000,2413,3097,244,12959961
2944,1.888000,2331,2432,242,13617580
3072,1.978000,2475,2564,192,14267955
3200,2.098000,3378,3500,238,14932492
3328,2.158000,2797,2654,220,15589964
3456,6.669000,4140,4861,2282,16247588
3584,4.965000,4960,3930,292,16897869
3712,2.422000,3320,2774,216,17555059
3840,2.529000,4128,3886,227,18205771
3968,2.632000,4291,3595,327,18856340
4096,2.684000,3938,2971,174,19499450
4224,2.822000,4500,4085,256,20228859
4352,3.005000,5033,4869,302,20945212
4480,3.041000,5002,4774,223,21661707
4608,3.125000,4783,3922,194,22370734
4736,3.274000,5187,4587,267,23087086
4864,3.356000,5323,5145,361,23796541
4992,3.569000,6353,6582,424,24505998
5120,3.513000,5668,4495,338,25207986
5248,3.616000,6069,4512,293,25924478
5376,3.705000,6272,4248,359,26633806
5504,3.801000,6583,4817,423,27343261
5632,3.977000,7789,7570,686,28045393
5760,4.031000,7674,8378,516,28754713
5888,4.113000,7611,7542,756,29457125
6016,4.329000,8813,7023,305,30159429
6144,4.347000,7599,5037,320,30854517
6272,4.385000,7631,4562,324,31570918
6400,4.680000,8440,5113,391,32280232
6528,4.645000,9301,7812,784,32989685
6656,4.799000,8906,6689,387,33691816
6784,4.795000,8781,5765,271,34401275
6912,4.872000,8496,5290,224,35103546
7040,5.224000,10165,11858,916,35805962
7168,5.087000,9695,6725,472,36500904
7296,5.163000,9405,5747,557,37210216
7424,5.272000,9997,6059,256,37912208
7552,5.382000,10364,8366,516,38614761
7680,5.442000,10266,5975,327,39309989
7808,5.550000,10341,7416,433,40012404
7936,5.714000,11160,8783,300,40707631
8064,5.740000,11227,8125,427,41402872
8192,5.873000,11524,7539,430,42090775
8320,5.973000,10990,7682,540,42878038
