Length,Elapsed Time,L1 Cache miss,L2 Cache miss,Num of instructions
2048,0.5080000162,674,63,2296511
2176,0.4080000222,451,91,2457125
2304,0.3910000324,469,57,2631961
2432,0.4010000229,533,57,2786212
2560,0.4590000212,385,67,2971735
2688,0.4290000200,337,57,3152289
2816,0.4780000150,314,64,3333019
2944,0.6040000319,347,60,3499580
3072,0.5990000367,441,65,3678755
3200,0.6550000310,465,63,3859917
3328,0.5390000343,522,65,4021913
3456,0.9630000591,462,61,4195547
3584,0.9160000682,452,57,4352981
3712,0.9440000653,462,357,4510440
3840,1.1010000706,2634,57,4675570
3968,0.7080000043,1150,69,4839977
4096,0.9260000587,1089,78,4999005
4224,0.8400000334,552,63,5167640
4352,1.0590000153,491,65,5344386
4480,1.3260000944,776,63,5506203
4608,0.9950000644,719,60,5698941
4736,0.9310000539,733,129,5862594
4864,1.8180000782,665,58,6034717
4992,0.9780000448,650,71,6216737
5120,1.0980000496,654,62,6415386
5248,1.5950000286,912,58,6618585
5376,1.2550001144,717,81,6817138
5504,0.9370000362,514,62,7021394
5632,1.8710000515,850,349,7215858
5760,1.1890000105,880,64,7390690
5888,1.2130000591,503,103,7560822
6016,1.5970001221,1016,65,7744135
6144,1.2600001097,891,59,7957851
6272,1.6290000677,686,431,8138340
6400,1.1550000906,668,60,8339903
6528,1.5490000248,862,64,8506843
6656,1.3950001001,713,65,8678107
6784,1.5780000687,770,164,8864044
6912,1.3210000992,1672,93,9060732
7040,1.3130000830,1240,65,9211940
7168,1.8190001249,472,134,9395704
7296,1.6380001307,1572,66,9566168
7424,1.3820000887,710,62,9750273
7552,1.7040001154,759,61,9935343
7680,1.5450000763,578,111,10097747
7808,2.5720000267,998,63,10304955
7936,1.8380000591,1083,146,10468971
8064,1.4800000191,801,64,10649089
8192,1.4370000362,774,58,10815625
8320,1.8330000639,1019,59,11011089
8448,2.1820001602,904,195,11172132
8576,2.2540001869,1873,66,11344081
8704,2.4080002308,797,62,11542747
8832,3.2510001659,2037,66,11741978
8960,1.7550001144,1514,83,11903025
9088,1.9360001087,1615,76,12073632
9216,1.6520000696,646,60,12296192
9344,2.2170000076,1246,66,12483572
9472,2.6240000725,1212,181,12662549
9600,2.7490000725,1551,114,12825927
9728,2.2840001583,2000,87,13028077
9856,1.7640000582,771,62,13217093
9984,2.5280001163,1075,886,13411257
10112,2.6660001278,1349,62,13590909
10240,2.6220002174,1656,78,13818049
10368,1.9370000362,1346,61,14012213
10496,1.8840000629,866,68,14258461
10624,2.0820000172,1099,59,14444310
10752,2.4320001602,1621,60,14687861
10880,2.9070000648,1118,937,14876426
11008,2.5150001049,1153,58,15091497
11136,2.8140001297,2150,71,15321370
11264,2.9560000896,1207,571,15538896
11392,2.6280000210,1063,58,15716635
11520,2.7250001431,1639,70,15911787
11648,2.4100000858,1411,308,16101426
11776,2.7750000954,1635,66,16286552
11904,2.2269999981,1129,56,16448288
12032,2.3840000629,1675,61,16662660
12160,2.3860001564,1268,117,16860992
12288,2.4490001202,1519,62,17089343
12416,2.5100002289,2702,91,17264419
12544,2.4450001717,1404,60,17476101
12672,3.0030002594,980,795,17676983
12800,2.5750000477,1761,61,17904726
12928,2.6430001259,1887,66,18077865
13056,2.5230000019,2639,85,18271288
13184,2.6490001678,1671,127,18469386
13312,2.6950001717,1702,59,18657102
13440,3.5620002747,1974,298,18829999
13568,2.7380001545,1219,60,19024645
13696,3.1940002441,1543,114,19258403
13824,2.9970002174,2865,61,19452355
13952,3.1580002308,2486,86,19631133
14080,2.6830000877,1348,64,19806228
14208,3.4730000496,2193,55,19982902
14336,3.0940001011,1754,63,20173736
14464,3.1060001850,1872,69,20313625
14592,4.4610004425,2067,96,20530245
14720,3.3930001259,1574,55,20718651
14848,3.3930001259,1612,63,20911079
14976,6.0070004463,2842,137,21109384
15104,3.0620000362,1652,669,21331107
15232,3.5940001011,1749,62,21520569
15360,3.1380002499,2249,73,21692740
15488,3.2510001659,1825,73,21858654
15616,3.0680000782,1565,67,22093464
15744,3.4960000515,1505,119,22276840
15872,3.1810002327,2594,81,22474810
16000,3.5940001011,2229,354,22688723
16128,3.7020001411,2234,914,22860713
16256,3.3160002232,1636,59,23023457
16384,4.0380001068,5791,150,23206781
16512,3.4990000725,3798,191,23410388
16640,3.3280000687,1832,62,23623618
16768,4.4880003929,2639,324,23815598
16896,4.4610004425,3006,67,23981271
17024,4.1579999924,2870,148,24189994
17152,4.1830000877,2167,79,24370842
17280,4.6270003319,2992,699,24557880
17408,3.6130001545,2292,99,24778839
17536,4.0140004158,9728,81,24966375
17664,3.6090002060,2624,63,25187196
17792,4.6460003853,4790,163,25353591
17920,4.2680001259,2352,63,25555682
18048,3.6790001392,2389,66,25742048
18176,4.3370003700,2518,281,25910149
18304,4.8520002365,2525,451,26111925
18432,3.6370000839,2377,89,26385784
