Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions,Total cycles
2048,0.914000,604,1001,105,2894238,1433821
2176,0.478000,545,946,80,3096557,1531857
2304,0.564000,851,1526,86,3316428,1644147
2432,0.494000,581,982,71,3511072,1733884
2560,0.615000,808,1264,81,3744783,1860635
2688,0.558000,663,1169,82,3971762,1957120
2816,0.606000,786,1318,93,4199333,2065881
2944,0.636000,686,1214,62,4409027,2161816
3072,0.667000,685,1236,70,4634777,2269930
3200,0.701000,692,1206,162,4862402,2384989
3328,0.761000,748,1269,173,5066512,2483814
3456,0.788000,915,1350,98,5285413,2591323
3584,0.766000,782,1337,71,5484362,2682796
3712,0.793000,809,1373,99,5682512,2777204
3840,0.823000,839,1462,55,5890472,2880575
3968,0.851000,881,1470,92,6097817,2978082
4096,0.940000,1153,1704,65,6297988,3081255
4224,0.972000,1083,1570,103,6510743,3183039
4352,0.967000,974,1484,62,6733122,3288687
4480,1.085000,1033,1611,360,6937577,3411631
4608,1.118000,1217,1818,200,7179698,3524776
4736,1.139000,1495,2456,73,7386478,3603720
4864,1.108000,1406,1830,88,7602958,3708076
4992,1.090000,1307,1762,126,7832957,3814849
5120,1.126000,1344,1810,84,8082577,3941195
5248,1.195000,1495,1823,108,8337612,4060031
5376,1.196000,1524,1827,69,8587312,4183056
5504,1.283000,1874,2036,62,8844393,4316678
5632,1.291000,1693,1973,85,9089132,4423601
5760,1.293000,1794,2058,73,9309057,4523320
5888,1.322000,1870,2005,80,9523537,4623978
6016,1.413000,2090,2147,103,9754478,4742116
6144,1.392000,1976,2102,85,10023057,4868742
6272,1.422000,2061,2045,66,10250737,4971628
6400,1.520000,2226,2300,95,10504063,5103481
6528,1.487000,2193,2278,116,10715022,5197726
6656,1.573000,2541,2758,61,10930108,5298528
6784,1.574000,2306,2338,56,11164342,5414050
6912,1.636000,2727,2877,86,11412258,5537805
7040,1.963000,3115,4588,2778,11603328,5753788
7168,1.734000,2780,2881,736,11835228,5774083
7296,1.892000,2969,3661,2317,12049768,5981756
7424,1.807000,2647,2518,409,12281912,5956385
7552,2.019000,3077,3489,1240,12514652,6153329
7680,1.815000,2808,2628,281,12718872,6163552
7808,1.994000,3081,3109,819,12979393,6327998
7936,1.922000,3127,3437,138,13186758,6391514
8064,1.989000,3253,3160,479,13413888,6536392
8192,1.948000,2995,2754,171,13623327,6613757
8320,1.976000,3118,2678,97,13869682,6710713
8448,1.948000,3207,2740,126,14072442,6810684
8576,1.977000,3308,2759,105,14289697,6912909
8704,2.046000,3382,2994,215,14539422,7034445
8832,2.077000,3460,2999,130,14790067,7166911
8960,2.076000,3557,3293,103,14993562,7255746
9088,2.133000,3607,2935,129,15208317,7365293
9216,2.224000,3860,3158,138,15488108,7505732
