Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
2048,0.587000,536,1001,11,3258770
2176,0.627000,547,945,5,3486471
2304,0.458000,569,921,4,3734582
2432,0.472000,578,998,8,3953136
2560,0.504000,628,1125,4,4216516
2688,0.535000,626,1180,21,4472270
2816,0.563000,651,1200,10,4728625
2944,0.592000,663,1221,13,4964699
3072,0.622000,685,1242,7,5218843
3200,0.651000,671,1246,2,5475824
3328,0.678000,733,1293,4,5705263
3456,0.707000,764,1326,0,5951538
3584,0.733000,804,1460,10,6174672
3712,0.760000,821,1432,24,6397514
3840,0.857000,1002,1786,19,6631449
3968,0.815000,889,1543,8,6864477
4096,0.840000,868,1569,7,7089535
4224,0.962000,1196,1797,34,7328556
4352,0.897000,963,1481,13,7579170
4480,0.923000,1029,1477,8,7808316
4608,0.957000,1052,1576,2,8081676
4736,0.985000,1123,1627,21,8313455
4864,1.014000,1213,1760,12,8557332
4992,1.043000,1339,1702,4,8815671
5120,1.080000,1362,1799,14,9097311
5248,1.184000,1536,2017,29,9385119
5376,1.144000,1546,1821,18,9666440
5504,1.175000,1588,1929,8,9956091
5632,1.266000,1756,2095,4,10231842
5760,1.237000,1766,1961,13,10479414
5888,1.266000,1864,2069,18,10720388
6016,1.371000,2227,2466,23,10980278
6144,1.396000,2204,2402,11,11283287
6272,1.359000,2056,2160,8,11539327
6400,1.394000,2117,2118,0,11825268
6528,1.424000,2185,2172,2,12061661
6656,1.629000,3948,3756,74,12303825
6784,1.476000,2270,2348,50,12567194
6912,1.513000,2337,2262,24,12846288
7040,1.537000,2372,2373,34,13060409
7168,1.568000,2482,2371,18,13320987
7296,1.597000,2579,2517,22,13562094
7424,1.633000,2582,2402,22,13823089
7552,1.657000,2701,2427,4,14084999
7680,1.684000,2749,2565,38,14314703
7808,1.800000,2979,2813,6,14608508
7936,1.819000,3370,3368,50,14840909
8064,1.835000,3210,3002,0,15096203
8192,1.805000,2996,2657,33,15331465
8320,1.836000,2963,2691,15,15608386
8448,1.924000,3512,3180,23,15836231
8576,1.967000,3329,3072,30,16079716
8704,1.929000,3356,2898,13,16361362
8832,2.008000,3598,3398,37,16643622
8960,1.985000,3528,2840,6,16871514
9088,2.071000,3718,3058,19,17113002
9216,2.055000,3678,3076,5,17428934
9344,2.120000,3916,3149,24,17694276
9472,2.112000,3827,3074,21,17947590
9600,2.195000,4152,3223,23,18179011
9728,2.172000,4039,3097,43,18465465
9856,2.263000,4234,3710,40,18733635
9984,2.292000,4280,3333,34,19008792
10112,2.264000,4260,3224,29,19263375
10240,2.368000,4606,4144,46,19585609
10368,3.903000,4746,4618,12,19860042
10496,2.373000,4624,3260,61,20209122
10624,2.463000,4974,3929,9,20471818
10752,2.491000,5140,4417,20,20817132
10880,2.554000,5108,3735,30,21084261
11008,2.625000,5195,5786,49,21389170
11136,2.771000,5379,4276,23,21714976
11264,2.641000,5295,3698,20,22023607
11392,2.694000,5830,4465,22,22275072
11520,2.684000,5621,3651,16,22551229
11648,2.736000,5609,3856,28,22820266
11776,2.759000,6138,5049,18,23082275
11904,2.789000,5838,3984,15,23311148
12032,2.769000,5899,3775,56,23615148
12160,2.838000,6036,4016,35,23896014
12288,2.898000,6110,3982,29,24219613
12416,2.924000,6291,4336,55,24467431
12544,2.947000,6454,5064,18,24767952
12672,2.937000,6297,3896,20,25052478
12800,3.042000,6491,4741,16,25375521
12928,3.110000,6719,4633,2,25620277
13056,3.028000,6542,4411,8,25894741
13184,3.099000,6736,4232,28,26174639
13312,3.167000,6861,5048,34,26440148
13440,3.129000,6839,4291,44,26684820
13568,3.196000,6961,5139,82,26960251
13696,3.193000,6873,3998,30,27292268
13824,3.276000,7104,4931,33,27567278
13952,3.256000,7019,4943,32,27820364
14080,3.362000,7461,6591,16,28068403
14208,3.359000,7378,4636,32,28318134
14336,3.401978,7498,5284,30,28588645
14464,3.436000,7916,5643,16,28786165
14592,3.409000,7603,4861,31,29093024
14720,3.535000,8104,7662,14,29360098
14848,3.555000,7907,5891,2,29632257
14976,3.561000,7930,5318,50,29912866
15104,3.542000,7915,4991,13,30227260
15232,3.694000,8234,5856,37,30495223
15360,3.644000,8338,6928,32,30738410
15488,3.676000,8414,5889,28,30973295
15616,3.703000,8667,6400,31,31306189
15744,3.753000,8574,7464,30,31566176
15872,3.787000,8766,7044,44,31846720
16000,3.800000,8711,5349,11,32149490
16128,3.854000,9088,6861,16,32392924
16256,3.864000,9066,5966,20,32622956
16384,3.888000,9259,5690,44,32881982
16512,3.920000,9069,6202,19,33170629
16640,3.976000,9334,7239,30,33472437
16768,3.992000,9437,8221,34,33744374
16896,4.195000,9811,8551,57,33978543
17024,4.064000,9548,5968,55,34274199
17152,4.099000,9763,7717,74,34529970
17280,4.134000,9906,7857,38,34794905
17408,4.163000,9804,6039,32,35108058
17536,4.196000,10053,6863,57,35373442
17664,4.284000,10016,6570,52,35686318
17792,4.244000,10459,7079,55,35921451
17920,4.296000,10364,7759,46,36207881
18048,4.323000,10576,7326,62,36471259
18176,4.353000,10652,7305,42,36709094
18304,4.371000,10506,7340,30,36994864
18432,4.472000,10804,6263,45,37383701
18560,4.478000,10971,7454,76,37672528
18688,4.498000,11011,6603,70,37928718
18816,4.543000,11106,6763,87,38208980
18944,4.546000,11194,8509,37,38475510
19072,4.590000,11262,8357,46,38744402
19200,4.595000,11431,8045,35,38981146
19328,4.707000,11518,7627,44,39226465
19456,4.691000,11537,7726,59,39595073
19584,4.703000,11788,8848,65,39897571
19712,4.743000,11929,6854,55,40194533
19840,4.797000,12077,10364,52,40492038
19968,4.825000,12000,9406,67,40753292
20096,4.850000,12146,8373,66,41017011
20224,4.890000,12198,10468,76,41285741
20352,4.954000,12597,8565,73,41573199
20480,4.942000,12564,9095,62,41949495
20608,5.001000,12822,7713,132,42290782
20736,5.024000,12970,8477,92,42570984
20864,5.148000,12943,9294,81,42891117
20992,5.114000,12920,10450,41,43277405
21120,5.180000,13141,10968,44,43525676
21248,5.323000,14082,13914,92,43788994
21376,5.201000,13393,8562,85,44116891
21504,5.254000,13665,9384,61,44521166
21632,5.358000,13703,8833,69,44909984
21760,5.335000,13627,8257,53,45186282
21888,5.419000,14038,9761,52,45517335
22016,5.397000,14220,9710,39,45780549
22144,5.424000,14197,8923,31,46076392
22272,5.521000,14321,11213,64,46437505
22400,5.504000,14306,9272,73,46719348
22528,5.611000,14594,11186,76,47076472
22656,5.629000,14910,10355,54,47351642
22784,5.688000,14828,8542,20,47661300
22912,5.654000,15035,8294,81,47948830
23040,5.729000,15141,12242,22,48232184
23168,5.756000,15356,10904,65,48535366
23296,5.793000,15311,10875,70,48816190
23424,5.768000,15569,10094,31,49101335
23552,5.800000,15648,9932,68,49349058
23680,5.838000,15930,11097,51,49685768
23808,5.856000,15923,10356,71,49895855
23936,5.926000,15963,8941,90,50290482
24064,6.041000,16091,9905,107,50513063
24192,5.984000,16159,12822,45,50839270
24320,5.999000,16391,10536,46,51148358
24448,6.076000,16573,9699,58,51442162
24576,6.113000,16316,10665,59,51734694
24704,6.142000,16624,13204,90,52025787
24832,6.282000,16746,12070,42,52344596
24960,6.175000,16751,11406,36,52618188
25088,6.251000,17236,11133,56,52984905
25216,6.281000,17290,12923,43,53240143
25344,6.275000,17094,9825,26,53519729
