Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
2048,1.720000,533,932,157,3258770
2176,0.585000,530,896,185,3486471
2304,0.571000,618,1045,158,3734582
2432,0.601000,580,891,132,3953136
2560,0.645000,630,1080,160,4216516
2688,0.682000,601,1085,152,4472270
2816,0.715000,702,1190,160,4728625
2944,0.750000,755,1235,194,4964699
3072,0.785000,713,1329,215,5218843
3200,0.826000,721,1316,194,5475824
3328,0.859000,725,1242,173,5705263
3456,2.525000,774,1269,157,5951538
3584,1.266000,1272,1689,218,6174673
3712,0.964000,813,1308,172,6397514
3840,1.045000,1282,1688,148,6631449
3968,1.039000,890,1385,181,6864477
4096,1.098000,1207,2086,182,7089535
4224,1.156000,1424,2379,291,7328556
4352,1.140000,1015,1493,216,7579170
4480,1.178000,1401,1678,198,7808317
4608,1.238000,1569,1953,207,8081676
4736,1.247000,1169,1564,170,8313455
4864,1.300000,1477,1817,186,8557333
4992,1.333000,1284,1624,187,8815671
5120,1.367000,1455,1799,195,9097311
5248,1.419000,1646,1844,164,9385119
5376,1.447000,1506,1765,222,9666440
5504,1.494000,1585,1775,167,9956091
5632,1.564000,2129,2827,205,10231842
5760,1.706000,2312,2940,223,10479416
5888,1.621000,2051,2342,206,10720389
6016,1.670000,2327,2224,228,10980278
6144,1.745000,2495,2932,245,11283287
6272,1.787000,2332,2568,186,11539328
6400,1.792000,2398,2211,165,11825269
6528,1.813000,2422,2101,178,12061668
6656,1.850000,2373,2387,179,12303824
6784,1.971000,2973,4320,298,12567195
6912,1.935000,2296,2131,187,12846288
7040,1.978000,2445,2316,234,13060409
7168,1.988000,2533,2295,190,13320987
7296,2.094000,3461,4191,275,13562095
7424,2.063000,2658,2296,204,13823089
7552,2.117000,2705,2300,243,14084999
7680,2.156000,2769,2438,218,14314703
7808,2.243000,3435,3601,279,14608508
7936,2.219000,2911,2526,269,14840908
8064,2.289000,3334,3034,243,15096203
8192,2.303000,3175,2778,258,15331465
8320,2.352000,3313,3086,328,15608387
8448,2.360000,3195,2575,227,15836230
8576,2.466000,4066,4230,244,16079716
8704,2.479000,3687,3214,225,16361363
8832,2.484000,3452,2735,268,16643621
8960,2.522000,3913,3104,454,16871515
9088,2.571000,3801,3529,254,17113002
9216,2.631000,3978,3288,352,17428935
9344,2.678000,4007,3220,168,17694276
9472,2.673000,3861,2798,301,17947590
9600,2.715000,3948,2846,306,18179010
9728,2.781000,4054,3047,384,18465465
9856,2.814000,4523,4050,259,18733634
9984,2.836000,4232,3082,261,19008791
10112,2.927000,4565,3565,215,19263376
10240,2.988000,4641,3919,241,19585609
10368,2.985000,4659,3619,218,19860042
10496,3.025000,4811,3470,274,20209123
10624,3.051000,4754,3211,241,20471817
10752,3.148000,5657,5685,332,20817132
10880,3.169000,5080,4361,272,21084261
11008,3.207000,5513,5093,262,21389169
11136,3.253000,5262,3509,243,21714976
11264,3.321000,5585,4214,210,22023607
11392,3.338000,5951,4494,243,22275071
11520,3.373000,5584,4381,343,22551229
11648,3.412000,5766,3902,300,22820266
11776,3.450000,5997,5058,550,23082275
11904,3.469000,5963,3912,216,23311148
12032,3.518000,6067,4578,425,23615148
12160,3.570000,6127,5119,311,23896014
12288,3.632000,6437,5148,502,24219613
12416,3.652000,6456,4191,331,24467431
12544,3.730000,6319,4819,282,24767952
12672,3.762000,6895,6642,348,25052479
12800,3.775000,6792,4923,316,25375521
12928,3.822000,6610,4921,283,25620277
13056,3.860000,6850,4459,269,25894742
13184,3.890000,6892,4120,226,26174639
13312,3.952000,6907,5064,281,26440148
13440,3.970000,6912,4562,328,26684821
13568,4.036000,7405,5469,385,26960251
13696,4.099000,7335,5330,392,27292269
13824,4.098000,7271,5216,216,27567278
13952,4.185000,7690,6799,321,27820365
14080,4.239000,7661,5690,264,28068403
14208,4.222000,7359,5047,243,28318134
14336,4.323000,7692,7160,362,28588639
14464,4.336000,8214,7061,515,28786165
14592,4.340000,7879,5308,357,29093025
14720,4.396000,8236,6839,287,29360098
14848,4.430000,8285,5353,254,29632257
14976,4.449000,8332,6564,294,29912866
15104,4.525000,8792,8162,413,30227261
15232,4.641000,9507,10848,549,30495223
15360,4.594000,8566,8034,424,30738410
15488,4.652000,8572,7126,329,30973296
15616,4.672000,8865,7133,287,31306189
15744,4.728000,8878,5603,607,31566176
15872,5.481000,13695,15211,2707,31846720
16000,4.859000,9112,9402,441,32149490
16128,4.830000,9368,8051,319,32392924
16256,4.968000,10671,10842,444,32622957
16384,4.949000,9397,8275,310,32881983
16512,4.994000,9559,7150,229,33170630
16640,4.981000,9550,5923,260,33472438
16768,5.070000,10127,10444,485,33744375
16896,5.075000,9399,6274,517,33978541
17024,5.119000,9885,6837,336,34274199
17152,7.998000,10105,9540,2410,34529971
17280,5.216000,10408,8429,532,34794906
17408,5.286000,10456,7988,361,35108058
17536,5.327000,10390,8469,502,35373442
17664,5.422000,10825,12573,968,35686318
17792,5.399000,10948,9111,353,35921451
17920,5.417000,10997,9246,402,36207882
18048,5.478000,10903,9579,763,36471259
18176,5.519000,11467,10212,496,36709095
18304,5.587000,11118,11043,430,36994864
18432,5.628000,10966,8437,446,37383700
18560,5.663000,11292,9565,384,37672529
18688,5.738000,11451,10503,547,37928718
18816,5.695000,11240,6517,384,38208979
18944,5.803000,12858,13894,6796,38475511
19072,5.855000,11859,11037,863,38744402
19200,5.812000,11395,7975,445,38981146
19328,5.850000,11780,7691,433,39226464
19456,5.932000,11972,9391,414,39595074
19584,6.008000,11990,8635,597,39897571
19712,6.078000,12333,9471,595,40194534
19840,6.073000,12282,10339,944,40492038
19968,6.483000,14859,13202,1051,40753292
20096,6.165000,12299,10905,795,41017011
20224,6.186000,12566,10168,660,41285742
20352,6.261000,12818,8938,434,41573199
20480,6.310000,13142,12078,580,41949496
20608,6.367000,12777,10319,514,42290783
20736,6.420000,13544,10720,415,42570985
20864,6.548000,14139,14404,465,42891117
20992,6.483000,13594,9704,756,43277406
21120,6.537000,14012,12163,548,43525677
21248,6.568000,13580,9198,370,43788991
21376,6.751000,15119,13483,660,44116892
21504,6.744000,14348,14728,948,44521167
21632,6.801000,14923,14920,642,44909983
21760,6.813000,13934,11021,436,45186283
21888,6.929000,14903,15332,969,45517335
22016,6.878000,14057,10389,782,45780549
22144,6.926000,14231,11185,616,46076393
22272,6.962000,14976,12719,538,46437506
22400,7.021000,14621,11190,536,46719349
22528,7.208000,16267,17967,1841,47076473
22656,7.102000,14923,10605,549,47351642
22784,7.161000,15744,16270,800,47661301
22912,7.240000,15735,15592,805,47948833
23040,7.224976,15659,12459,532,48232185
23168,7.360000,16474,17024,623,48535366
23296,7.531000,18091,16184,1722,48816191
23424,7.371000,16196,13047,590,49101335
23552,7.442000,16323,12786,497,49349059
23680,10.998000,16315,14378,612,49685769
23808,7.476000,15932,11075,498,49895856
23936,7.511000,16182,12227,520,50290483
24064,7.636000,16519,16531,591,50513065
24192,7.688000,17766,18452,1225,50839271
24320,7.743001,17433,16419,615,51148360
24448,7.795001,17871,14834,1144,51442162
24576,7.750000,17262,13751,547,51734694
24704,7.786000,16639,10701,566,52025787
24832,7.826000,17044,13553,470,52344597
24960,7.873000,17181,11631,654,52618189
25088,7.901000,17553,12033,839,52984905
25216,7.928000,17465,12020,732,53240143
25344,8.197001,20068,20736,4916,53519730
25472,8.033000,17665,14449,675,53836985
25600,8.160001,18223,14723,657,54216355
25728,8.195001,18136,17805,591,54529847
25856,8.410001,18316,17283,3100,54794137
25984,8.265000,18924,18354,1198,55064629
26112,8.385000,19309,16074,641,55374542
26240,8.533000,20946,17820,1480,55583910
26368,8.433001,19323,17098,1606,55884103
26496,8.426001,19007,13751,785,56164891
26624,8.527000,19933,18183,758,56446121
26752,8.492001,19481,16381,1595,56740649
26880,8.537001,18746,13537,413,57033045
27008,8.540000,18623,16474,541,57337528
27136,8.641001,19530,17923,1931,57614780
27264,8.884001,20819,20378,2094,57916796
27392,8.770000,19537,15996,606,58252151
27520,8.753000,19158,12582,621,58586835
27648,8.794001,19604,17201,724,58933076
27776,8.868000,20152,15667,1304,59158957
27904,8.875000,19370,14962,501,59445784
28032,8.942000,20088,16031,864,59675920
28160,8.972000,19858,15427,804,59943332
28288,9.366000,19864,18782,838,60194552
28416,9.026000,19846,14060,628,60497616
28544,9.056001,20000,14773,467,60746157
28672,10.321000,25717,31148,4596,61043983
28800,9.173950,20933,16309,565,61329250
28928,9.167001,20501,16689,603,61517384
29056,9.210000,20996,18391,480,61816630
29184,9.252001,21289,17983,779,62156817
29312,9.454000,22318,23925,1278,62430131
29440,9.383000,21430,16430,1138,62735155
29568,9.403001,21647,17859,778,62980270
29696,9.457001,21560,18147,757,63314121
29824,11.589001,22762,22792,401,63562076
29952,9.544001,21709,18564,760,63869398
30080,9.619000,21826,16773,688,64144355
30208,9.673000,22661,20342,1116,64544885
30336,9.648001,21659,17027,529,64835116
30464,10.012000,22617,17989,838,65112135
30592,9.760000,22405,16882,1050,65343311
30720,10.073001,23954,23704,2165,65643164
30848,9.852000,22683,18271,937,65944477
30976,9.884001,22488,16100,790,66167896
31104,9.964001,22883,18337,931,66473020
31232,9.962001,22739,16825,1002,66841932
31360,10.029000,22871,20473,1065,67178947
31488,10.050000,22745,15714,1220,67431992
31616,10.187000,23450,23272,1713,67711086
31744,10.262000,24116,21194,1793,68019812
31872,10.240001,24192,18785,1276,68297684
32000,10.316001,24409,28020,17344,68608059
32128,10.378000,24556,26358,1916,68830573
32256,10.351001,24482,26210,2147,69167407
32384,10.391001,24407,24551,1097,69415178
32512,10.491000,24438,22421,863,69680217
32640,10.427000,24222,18575,782,69934046
32768,10.500001,24594,21106,962,70215683
32896,10.516001,24108,18576,524,70485811
33024,10.611000,24774,21455,1085,70822517
33152,10.604000,24655,18119,729,71153833
33280,10.707001,25795,23129,774,71460529
33408,10.677000,24901,19378,949,71799797
33536,10.698001,24701,17540,880,72119392
33664,10.776001,25434,20760,1650,72348477
33792,10.807000,25116,20017,942,72571088
33920,10.843000,25827,22362,773,72846619
34048,10.913000,25186,19640,587,73174412
34176,11.017000,26420,22532,1920,73440659
34304,10.989000,25826,18168,968,73736608
34432,11.092001,26177,22017,1098,74069732
34560,11.084001,27007,24180,1388,74366172
34688,11.111000,27090,22441,1128,74635855
34816,11.258000,27153,23788,600,74969019
34944,11.219001,26341,21047,726,75203067
35072,11.254001,26732,23023,1678,75499593
35200,11.261001,26994,22074,750,75810788
35328,11.397000,27214,20006,717,76180154
35456,11.437000,27479,22725,642,76457181
35584,11.532001,28120,25202,1135,76717598
35712,11.471001,27678,23696,1199,76982451
35840,11.551001,28149,24511,1400,77290034
35968,11.582001,28543,23475,843,77609009
36096,11.607000,27665,26875,1223,77895482
36224,12.034000,28702,24156,1595,78191625
36352,11.711000,28174,24225,859,78400457
36480,11.699000,28138,22566,1805,78697150
36608,11.819000,28716,23568,1463,79040424
36736,11.850000,28802,22259,1582,79366637
36864,11.901001,28919,25127,843,79756636
36992,11.976001,29882,31491,3778,80018107
37120,11.992001,28788,24590,974,80382641
37248,12.089001,29704,28791,818,80683685
37376,12.095000,29589,26524,998,80987728
37504,12.129001,29414,27173,1004,81224536
37632,12.236001,30274,27691,755,81550510
37760,12.273001,31183,31492,4371,81877290
37888,12.287001,30879,28730,1357,82162337
38016,12.337001,30087,26935,1048,82509452
38144,12.398001,30999,26464,1109,82778591
38272,12.367001,29756,24187,1669,83053681
38400,12.647000,33152,32790,5243,83282510
38528,12.459001,30094,23436,1268,83553021
38656,12.472000,30637,25486,1210,83819005
38784,12.660001,32502,36069,1156,84094953
38912,12.656000,31242,33482,1251,84494036
39040,12.735001,31299,34146,3581,84760931
39168,12.663001,30666,23650,975,85113029
39296,12.815001,31904,27258,1075,85363450
39424,12.750001,31135,28036,1785,85728646
39552,12.887001,32276,32271,1384,86049578
39680,13.009001,33514,34960,1183,86400741
39808,12.953001,31590,30460,749,86669598
39936,12.955001,31665,27733,1214,86965383
40064,13.062000,31941,28904,1229,87237131
40192,13.115001,32344,31795,1130,87542685
40320,13.077001,32015,28594,937,87838011
40448,13.232000,32425,33522,2281,88120604
40576,13.213000,32751,28064,958,88425371
40704,13.272000,32859,26758,1311,88735209
40832,13.258000,32817,28011,657,89010397
40960,13.313001,32742,27597,1503,89432853
41088,13.388000,33259,30380,2229,89780597
41216,13.431001,33762,34404,1381,90201158
41344,13.480000,33925,32992,864,90437801
41472,13.545001,33518,31869,1570,90817318
41600,13.548000,34121,32933,1423,91102219
41728,13.614000,34222,30047,2280,91448502
41856,13.685000,34580,30293,1181,91846450
41984,13.782001,34613,37110,2375,92301146
42112,13.770000,34422,32068,1246,92623532
42240,13.805969,34781,35117,1333,92831665
42368,13.855000,34705,28406,1102,93150628
42496,13.885000,34679,28525,2064,93416525
42624,14.005001,35475,36817,1151,93719507
42752,14.229001,34831,34231,2537,94052629
42880,14.043000,34814,33257,1414,94407758
43008,14.175001,35248,33105,2658,94868641
43136,15.263000,36295,34181,1755,95181149
43264,14.215001,35598,33347,1786,95644837
43392,14.363001,36922,35492,3435,95928900
43520,14.396001,36042,29586,1155,96220484
43648,14.390000,35981,33582,1934,96552896
43776,14.414001,35917,32624,1819,96951399
43904,14.467001,36646,32781,1336,97273615
44032,14.558001,36714,34444,1744,97580130
44160,14.557001,36503,31287,1759,97853512
44288,14.648001,36775,32537,940,98158122
44416,14.673000,37134,36542,2254,98551789
44544,14.681001,37983,36362,1520,98897692
44672,14.769001,37830,33679,4936,99273042
44800,14.780001,37401,30146,1972,99604855
44928,14.845000,37353,32767,3494,99893875
45056,14.893001,38337,32087,1887,100262982
45184,14.954000,37861,33485,2377,100515193
45312,15.049001,38568,37566,3101,100847860
45440,15.195001,39614,40782,656,101123531
45568,15.095000,38903,38271,2678,101481836
45696,15.111001,38760,35959,2358,101751428
45824,15.228001,38204,32707,5493,102135745
45952,15.221001,38977,33077,1480,102371957
46080,15.324000,40003,38691,6443,102717698
46208,15.345000,39365,35676,886,102993495
46336,15.329000,39705,32604,1507,103343801
46464,15.424001,40307,36030,1987,103689650
46592,15.423000,39436,36877,1413,103965712
46720,15.493001,39345,32396,1020,104251859
46848,15.766001,41400,39730,2567,104547599
46976,15.580001,40402,32827,2137,104800865
47104,15.643001,40308,40438,2512,105075893
47232,15.684001,40765,38685,1096,105407363
47360,15.644001,40814,35068,1190,105806742
47488,15.841001,40864,38092,3416,106072009
47616,15.817000,41219,42225,2956,106285581
47744,15.858001,41199,37981,2019,106636474
47872,15.932001,40966,37022,2142,107069158
48000,15.993001,42329,42735,1800,107304475
48128,16.072001,42460,37770,1482,107662106
48256,16.004002,41377,39321,2667,107876486
48384,16.136002,42275,43538,1577,108207169
48512,16.275002,42227,46868,2035,108499947
48640,16.234001,42229,44364,2420,108876444
48768,16.233002,41876,38146,2401,109323302
48896,16.347000,43040,44701,3574,109542458
49024,16.344000,42588,40860,1537,109833570
49152,16.456001,42707,46271,1907,110217047
49280,16.484001,42798,36540,1972,110582424
49408,18.360001,50549,57889,21513,110806740
49536,16.632000,43887,45269,1849,111002509
49664,16.993000,44346,40413,1975,111421916
49792,16.804001,43300,44165,1758,111742540
49920,16.613001,44014,36517,1651,111988463
50048,16.724001,44364,43171,2396,112225448
50176,17.174002,45039,44863,1864,112724536
50304,17.263000,47681,57394,27755,113038933
50432,17.344002,45254,47026,2089,113321145
50560,16.943001,44950,40889,1526,113642354
50688,17.048000,45985,44668,2568,113937129
50816,17.109001,45954,43316,1933,114318422
50944,17.056002,45024,40379,1852,114551808
51072,17.122002,45329,40503,2766,114941534
51200,17.156000,45704,45779,2233,115402213
51328,17.481001,47033,50948,7920,115717887
51456,17.246000,45584,42122,2177,116059149
51584,17.266001,45697,44371,4080,116327815
51712,17.327002,45415,46707,3179,116595813
51840,17.514000,46575,43875,11548,116890525
51968,17.324001,45402,43597,3514,117169631
52096,18.296001,51247,53514,8508,117447911
52224,17.440001,45806,39768,1818,117814296
52352,17.529001,46025,44380,2229,118096096
52480,17.518002,45704,42941,2099,118314488
52608,17.535002,46173,39602,2843,118639736
52736,17.677000,47036,48725,6590,118968193
52864,17.718000,46354,41164,2151,119245072
52992,18.111000,49402,54577,6527,119497051
53120,17.820002,47417,48926,3243,119767889
53248,17.856001,47158,42423,2811,120173783
53376,17.894001,48050,49899,3231,120471977
53504,18.075001,47360,51220,3268,120779545
53632,17.876001,47051,42192,2136,120994783
53760,18.031000,47342,43658,1366,121346517
53888,18.059000,47379,43085,2716,121674537
54016,18.104000,47525,41352,2584,121983943
54144,18.061001,47609,44596,3961,122235810
54272,18.147001,47568,44375,2370,122577637
54400,18.241001,47950,45107,1518,122969663
54528,18.552000,51124,53870,1171,123284796
54656,18.352001,48865,49823,2774,123575318
54784,18.395000,49377,47507,2594,123977522
54912,19.562000,49504,50217,3833,124285316
55040,18.504002,48733,48588,2609,124597603
55168,18.511002,48758,47723,3693,124918979
55296,18.626001,49225,50796,3601,125337223
55424,18.666000,49661,48242,2049,125600870
55552,18.662001,49630,49220,1875,125892961
55680,18.747002,50321,50287,4232,126157508
55808,18.847000,49505,51208,2883,126446903
55936,18.845947,49174,48946,2371,126728620
56064,19.029001,52307,53047,2434,126985547
56192,18.932001,50384,48782,2251,127201387
56320,18.834002,49903,45014,2824,127568181
56448,18.896002,50003,45030,2702,127780653
56576,18.993000,49963,42021,3312,128055039
56704,19.028002,50651,45428,1784,128348721
56832,19.169001,50463,49293,2710,128716770
56960,19.057001,49971,46955,2067,128939209
57088,19.447001,52908,58548,8390,129172515
57216,28.267002,73020,86274,31216,129535342
57344,19.975000,57457,66966,17994,129871019
57472,19.215000,51648,45959,1858,130220619
57600,19.368000,51968,51690,1519,130492043
57728,19.416000,51988,48455,3562,130689059
57856,19.364000,51655,49981,2091,130946708
57984,19.424002,51595,46652,3875,131180239
58112,19.435001,52362,48517,5166,131492120
58240,19.534000,51796,49734,2738,131813646
58368,19.626001,52847,49781,4315,132254012
58496,19.781000,53971,53891,2803,132548334
58624,19.724001,53191,53753,1860,132882776
58752,19.824001,54086,53928,8460,133047560
58880,19.849001,54285,57903,3805,133443943
59008,19.836000,53358,57099,5107,133685456
59136,20.021002,54390,56599,4334,133940666
59264,19.906000,54400,57005,2934,134235045
59392,20.000000,54284,62371,2547,134675048
59520,20.002001,53548,54643,3072,135063722
59648,20.012001,53360,50167,2603,135253071
59776,20.014002,54018,50328,2212,135479356
59904,20.160002,54144,52095,2161,135852337
60032,20.216002,55017,55177,3401,136235461
60160,20.251001,54498,57139,4285,136494725
60288,20.233002,54602,54589,2778,136806668
60416,20.354000,54704,51528,2694,137305809
60544,20.327002,55532,52322,2840,137564864
60672,20.449001,55141,57034,3834,137900424
60800,20.472000,55161,55503,2113,138042590
60928,20.472000,55340,51392,10039,138477086
61056,20.563002,55609,55194,2657,138683263
61184,20.566002,55315,55743,1598,138906153
61312,20.681002,55489,61151,3576,139250266
61440,20.840000,57185,61403,2792,139644523
61568,20.964001,57060,68207,13220,139951599
61696,21.611002,61893,73246,3775,140256125
61824,20.904001,57760,66910,3675,140456886
61952,20.887001,56599,54111,2450,140765612
62080,20.926001,55418,55364,2948,141105670
62208,20.994001,57560,58309,2880,141403560
62336,21.024000,56713,64137,6252,141766846
62464,21.184002,58721,59124,5592,142154910
62592,21.143002,56850,58398,2086,142477697
62720,21.280001,59155,66129,12277,142878856
62848,21.367001,58919,65504,7164,143042694
62976,21.305000,58586,59467,4719,143402581
63104,22.099001,61877,70561,13974,143656582
63232,21.390001,58691,61370,4107,143959810
63360,21.333000,58369,56152,2967,144246256
63488,21.550001,59600,67991,17867,144622420
63616,21.811001,59467,71346,13581,144900757
63744,21.637001,60328,69794,2749,145249367
63872,21.685001,58183,63716,3343,145510108
64000,21.797001,59983,70967,4493,145860083
64128,21.742001,59726,63324,2127,146129684
64256,22.155001,61582,77174,19435,146413856
64384,21.788000,60183,60159,4199,146714359
64512,22.170002,62424,71186,11320,147061496
64640,21.840000,58842,62557,4206,147354131
64768,21.861002,60528,66148,5416,147699923
64896,21.858002,59863,59567,2851,147865859
65024,22.010000,59699,64004,4034,148160755
65152,22.084002,60798,66249,6536,148327561
65280,22.029001,60447,62722,7901,148653954
65408,22.078001,59643,62094,2482,148966188
65536,23.757002,63951,70204,12812,149293362
65664,22.203001,60317,65714,4488,149611348
65792,22.237001,61263,64807,4276,149868236
65920,22.220001,60694,63509,3908,150223452
66048,22.313002,61081,59457,3596,150597092
66176,22.415001,62511,70709,11557,150923355
66304,22.370001,61972,66154,4878,151250955
66432,22.574001,62380,67198,2965,151582184
66560,22.961000,64383,65522,4787,151965941
66688,22.565001,62463,65555,3861,152323705
66816,22.647001,61884,70870,6126,152722501
66944,22.746000,62868,65894,8465,152839573
67072,22.752001,62772,72124,12999,153255077
67200,22.635000,62075,61753,4399,153458338
67328,22.776001,62002,62883,5363,153792338
67456,22.788002,62535,58202,3843,153999498
67584,22.897001,62950,65559,3441,154323305
67712,22.941002,63275,64004,5424,154675408
67840,22.944000,62947,63704,4223,154883625
67968,22.998001,63992,70238,7149,155224411
68096,23.093000,63028,68838,16633,155572406
68224,23.093000,64572,66586,2949,155928608
68352,23.267000,64587,68737,6549,156190907
68480,23.201000,64808,69320,3319,156481868
68608,23.294001,64620,66406,2408,156789801
68736,23.203001,63395,60462,2118,157136777
68864,23.340002,64223,67266,4236,157547132
68992,23.307001,64529,63872,3929,157734860
69120,23.358002,64902,67100,3295,158063498
69248,23.462002,65631,69271,7344,158305975
69376,24.428001,70357,82080,12496,158663746
69504,23.682001,67080,76446,3317,159005967
69632,23.717001,66881,75219,4439,159376831
69760,23.707001,66368,72737,3218,159684023
69888,23.766001,65827,74146,3714,159955539
70016,23.853001,68441,75663,3796,160299827
70144,23.887001,67719,73586,4707,160614839
70272,23.972002,67862,74606,4399,160853889
70400,24.011002,67693,78651,6422,161194277
70528,24.008001,68204,77992,4335,161539830
70656,24.503000,69589,85164,16601,161943743
70784,24.092001,67724,71934,3997,162280960
70912,24.146973,68323,79275,4257,162588500
71040,24.362001,70188,79516,7252,162760527
71168,24.167002,67993,72933,2920,163100054
71296,24.142000,68132,71019,3185,163316691
71424,24.618002,69814,73240,5770,163662268
71552,24.400002,68327,79928,5716,163919555
71680,24.415001,68641,75707,1076,164304227
71808,24.817001,70526,77639,11291,164569754
71936,24.383001,68056,70050,5035,164921811
72064,24.500002,68626,71048,4758,165171752
72192,24.574001,69251,77090,7398,165596657
72320,24.624001,68500,70610,5523,165872232
72448,24.617001,69394,75267,3985,166193081
72576,24.892002,70697,83366,7589,166426651
72704,24.765001,70417,74295,6213,166678043
72832,24.721001,69000,71460,5202,167008046
72960,25.089001,72517,89907,11303,167329657
73088,32.061001,71085,84065,13626,167634635
73216,24.927002,69911,71620,3456,167931980
73344,24.992001,70524,76319,5963,168384907
73472,25.005001,70556,77422,6047,168769981
73600,25.133001,71464,72961,3751,169096935
73728,25.955002,70938,75313,6009,169512096
73856,25.596001,71505,81709,4383,169816065
73984,25.299002,70929,76169,5180,170142320
74112,25.334002,71640,76170,4674,170409419
74240,26.680002,73272,79266,7237,170878610
74368,25.476002,71479,75197,7402,171154911
74496,25.504002,71565,75352,7471,171517095
74624,25.471001,71056,73144,3679,171720286
74752,25.538002,72098,75821,4921,172069005
74880,25.543001,73375,81348,5727,172382996
75008,25.687000,73266,76619,5360,172608698
75136,25.653002,73689,78985,6013,172974160
75264,25.794001,73690,78019,7706,173348382
75392,26.335001,74787,85694,6122,173655142
75520,25.933001,73490,83112,8654,174028386
75648,25.832947,73780,83405,3376,174205599
75776,26.246002,77232,92263,13175,174553919
75904,25.853001,73258,79283,4420,174832009
76032,26.102001,74291,87924,8387,175272124
76160,26.081001,73946,78530,4869,175521615
76288,26.206001,75395,85762,4475,175915598
76416,26.165001,75045,82628,3631,176197660
76544,26.137001,74373,78862,7547,176472506
76672,27.524002,76365,93098,12494,176702815
76800,26.234001,74763,80642,3508,176989973
76928,26.547001,76871,92379,9429,177328470
77056,27.573002,77076,85522,9695,177566496
77184,26.350000,74459,75944,4892,177850788
77312,27.595001,76730,85527,13078,178106622
77440,26.447001,75113,85954,6888,178473266
77568,26.519001,74939,78861,4567,178779472
77696,26.675001,76557,89097,7096,179124460
77824,26.618002,76553,85332,16496,179541518
77952,26.694002,76382,81888,7164,179909582
78080,26.711000,75915,82059,7250,180172764
78208,26.742001,76247,81690,4830,180520193
78336,26.769001,76574,83637,6321,180871127
78464,26.813002,75949,81002,5311,181156788
78592,36.930000,76692,80229,7964,181529112
78720,26.959002,76462,80483,4628,181712234
78848,26.960001,77454,87151,13558,182202240
78976,27.194002,80016,88128,4475,182453143
79104,28.520000,81009,94528,7956,182836668
79232,27.278002,77917,90379,10137,183125019
79360,27.446001,80430,96198,10055,183576328
79488,27.316002,78218,85892,5002,183801628
79616,27.252001,78428,83121,9213,184133469
79744,27.384001,79115,87301,6184,184355576
79872,27.435001,80282,86658,6347,184830953
80000,27.486002,78428,89261,5958,185095774
80128,27.507002,78635,87645,7785,185365052
80256,27.420002,78485,83295,6800,185680210
80384,27.605001,79204,83777,4111,186026062
80512,27.535002,78691,80033,6755,186396209
80640,28.051001,81812,97446,13726,186671170
80768,27.916002,81497,89656,7313,186942406
80896,28.254002,81477,98826,7467,187265344
81024,28.000002,80325,89503,11908,187575599
81152,27.920002,80666,89090,5168,187914307
81280,28.110001,80097,88888,12469,188168846
81408,28.350002,81507,89402,6218,188495085
81536,27.980001,80901,89619,5334,188894286
81664,28.297001,81496,91415,5180,189227587
81792,28.089001,80439,84960,4022,189495746
81920,28.163002,80746,89603,9462,190011318
82048,28.116001,80858,82431,5288,190321828
82176,29.249001,87844,106565,22394,190717723
82304,28.239002,81060,86882,5463,191076868
82432,28.311001,81509,81555,7145,191621134
82560,28.483002,82430,94438,7960,191894758
82688,28.565001,82425,91846,4620,192157389
82816,28.521002,82181,85925,6297,192372237
82944,28.599001,82311,92454,6063,192882073
83072,29.555002,86633,109097,22213,193195473
83200,28.728001,83812,93127,11973,193492140
